GO	Ngenes	GOclass	nChild	nParent	MchildGO	Mchild	MparentGO	Mparent	Level	Term
GO:0006183	6	CC	0	4	NA	0	GO:1901070	1	9	GTP biosynthetic process
GO:0006184	29	CC	1	4	GO:0033124	1	GO:0009154	1	8	GTP catabolic process
GO:0006195	29	CC	2	3	GO:0009154	1	GO:0009166	1	7	purine nucleotide catabolic process
GO:0006213	6	CC	2	2	GO:0046131	1	GO:0072527	1	6	pyrimidine nucleoside metabolic process
GO:0006220	6	CC	2	2	GO:0006221	1	GO:0072527	1	6	pyrimidine nucleotide metabolic process
GO:0006221	6	CC	1	3	GO:0009220	1	GO:0006220	1	7	pyrimidine nucleotide biosynthetic process
GO:0006228	6	CC	0	4	NA	0	GO:0009209	1	9	UTP biosynthetic process
GO:0006241	6	CC	0	4	NA	0	GO:0009209	1	9	CTP biosynthetic process
GO:0006259	134	CC	4	2	GO:0006281	0.552238805970149	GO:0090304	0.264299802761341	5	DNA metabolic process
GO:0006261	2	CC	1	1	GO:0006269	1	GO:0006260	0.03125	7	DNA-dependent DNA replication
GO:0006269	2	CC	0	3	NA	0	GO:0006261	1	6	DNA replication, synthesis of RNA primer
GO:0006281	74	CC	0	4	NA	0	GO:0006974	1	4	DNA repair
GO:0006304	4	CC	2	2	GO:0006305	1	GO:0043412	0.043956043956044	6	DNA modification
GO:0006305	4	CC	1	1	GO:0006306	1	GO:0006304	1	7	DNA alkylation
GO:0006306	4	CC	0	4	NA	0	GO:0006305	1	5	DNA methylation
GO:0006325	73	CC	1	2	GO:0006333	1	GO:0051276	1	4	chromatin organization
GO:0006351	212	CC	3	3	GO:0006355	0.94811320754717	GO:0032774	0.990654205607477	6	transcription, DNA-templated
GO:0006352	14	CC	1	2	GO:0006367	1	GO:0006351	0.0660377358490566	7	DNA-templated transcription, initiation
GO:0006355	201	CC	1	4	GO:0006357	0.134328358208955	GO:2000112	1	6	regulation of transcription, DNA-templated
GO:0006357	27	CC	0	2	NA	0	GO:0006366	0.658536585365854	7	regulation of transcription from RNA polymerase II promoter
GO:0006364	6	CC	1	3	GO:0000154	1	GO:0016072	1	6	rRNA processing
GO:0006367	14	CC	0	2	NA	0	GO:0006352	1	8	transcription initiation from RNA polymerase II promoter
GO:0006396	121	CC	1	2	GO:0034470	0.28099173553719	GO:0016070	0.318421052631579	6	RNA processing
GO:0006399	74	CC	2	1	GO:0043039	0.648648648648649	GO:0034660	0.925	7	tRNA metabolic process
GO:0006412	289	CC	3	3	GO:0006418	0.152249134948097	GO:0034645	0.506129597197898	6	translation
GO:0006413	24	CC	0	2	NA	0	GO:0006412	0.0830449826989619	4	translational initiation
GO:0006414	17	CC	0	2	NA	0	GO:0006412	0.0588235294117647	6	translational elongation
GO:0006418	44	CC	1	2	GO:0006430	0.0454545454545455	GO:0043039	0.916666666666667	7	tRNA aminoacylation for protein translation
GO:0006430	2	CC	0	1	NA	0	GO:0006418	0.0454545454545455	8	lysyl-tRNA aminoacylation
GO:0006461	44	CC	1	3	GO:0043623	1	GO:0065003	1	5	protein complex assembly
GO:0006464	81	CC	3	2	GO:0006470	0.444444444444444	GO:0036211	1	6	cellular protein modification process
GO:0006470	36	CC	0	2	NA	0	GO:0016311	1	7	protein dephosphorylation
GO:0006497	10	CC	1	2	GO:0006506	1	GO:0042158	1	7	protein lipidation
GO:0006505	10	CC	1	2	GO:0006506	1	GO:0006664	1	6	GPI anchor metabolic process
GO:0006506	10	CC	0	4	NA	0	GO:0006497	1	7	GPI anchor biosynthetic process
GO:0006508	422	CC	1	1	GO:0051603	0.182464454976303	GO:0019538	0.33652312599681	5	proteolysis
GO:0051603	77	CC	1	2	GO:0019941	0.818181818181818	GO:0044257	1	6	proteolysis involved in cellular protein catabolic process
GO:0006511	63	CC	0	1	NA	0	GO:0019941	1	8	ubiquitin-dependent protein catabolic process
GO:0006520	132	CC	2	3	GO:0043038	0.363636363636364	GO:0019752	1	4	cellular amino acid metabolic process
GO:0006605	17	CC	0	2	NA	0	GO:1902582	0.653846153846154	5	protein targeting
GO:0006629	10	CC	2	3	GO:0008610	1	GO:0044710	0.0117924528301887	4	lipid metabolic process
GO:0006643	10	CC	2	1	GO:0006664	1	GO:0044255	1	5	membrane lipid metabolic process
GO:0006644	10	CC	2	3	GO:0006650	1	GO:0044255	1	5	phospholipid metabolic process
GO:0006650	10	CC	2	2	GO:0046474	1	GO:0006644	1	6	glycerophospholipid metabolic process
GO:0006661	10	CC	1	2	GO:0006506	1	GO:0046474	1	7	phosphatidylinositol biosynthetic process
GO:0006662	15	CC	0	1	NA	0	GO:0018904	1	5	glycerol ether metabolic process
GO:0006664	10	CC	2	2	GO:0006505	1	GO:0006643	1	5	glycolipid metabolic process
GO:0006725	875	CC	7	1	GO:0006139	0.972571428571429	GO:0044237	0.427037579306979	4	cellular aromatic compound metabolic process
GO:0006729	4	CC	0	3	NA	0	GO:0042559	1	7	tetrahydrobiopterin biosynthetic process
GO:0006732	7	CC	3	1	GO:0009108	1	GO:0051186	0.875	5	coenzyme metabolic process
GO:0006753	127	CC	6	3	GO:0009117	0.929133858267717	GO:0055086	1	5	nucleoside phosphate metabolic process
GO:0006754	68	CC	0	5	NA	0	GO:0046034	1	9	ATP biosynthetic process
GO:0006778	1	CC	2	2	GO:0006787	1	GO:0051186	0.125	5	porphyrin-containing compound metabolic process
GO:0006787	1	CC	1	3	GO:0006788	1	GO:0006778	1	6	porphyrin-containing compound catabolic process
GO:0006788	1	CC	0	3	NA	0	GO:0042168	1	5	heme oxidation
GO:0006793	173	CC	3	1	GO:0006796	1	GO:0044237	0.084431429965837	4	phosphorus metabolic process
GO:0006796	173	CC	5	1	GO:0006753	0.734104046242775	GO:0006793	1	5	phosphate-containing compound metabolic process
GO:0006807	946	CC	3	1	GO:0034641	0.915433403805497	GO:0008152	0.274760383386581	3	nitrogen compound metabolic process
GO:0006810	992	CC	5	1	GO:0044765	0.61491935483871	GO:0051234	1	4	transport
GO:0006811	226	CC	2	1	GO:0006812	0.13716814159292	GO:0044765	0.370491803278689	4	ion transport
GO:0006812	31	CC	2	1	GO:0030001	1	GO:0006811	0.13716814159292	5	cation transport
GO:0006814	22	CC	0	2	NA	0	GO:0015672	1	7	sodium ion transport
GO:0006820	10	CC	1	1	GO:0015711	1	GO:0006811	0	5	anion transport
GO:0030001	31	CC	2	1	GO:0006814	0.709677419354839	GO:0006812	1	6	metal ion transport
GO:0006826	9	CC	0	1	NA	0	GO:0000041	1	8	iron ion transport
GO:0006836	20	CC	0	1	NA	0	GO:0044765	0.0327868852459016	4	neurotransmitter transport
GO:0006865	10	CC	0	2	NA	0	GO:0046942	1	6	amino acid transport
GO:0006873	7	CC	1	2	GO:0030003	1	GO:0050801	1	6	cellular ion homeostasis
GO:0006875	7	CC	1	2	GO:0046916	1	GO:0030003	1	8	cellular metal ion homeostasis
GO:0006879	7	CC	0	2	NA	0	GO:0046916	1	10	cellular iron ion homeostasis
GO:0006886	121	CC	1	3	GO:0006605	0.140495867768595	GO:0034613	1	6	intracellular protein transport
GO:0006888	9	CC	0	2	NA	0	GO:0016482	1	6	ER to Golgi vesicle-mediated transport
GO:0006928	67	CC	1	1	GO:0007018	1	GO:0044763	0.049519586104952	4	cellular component movement
GO:0006950	147	CC	2	1	GO:0033554	0.503401360544218	GO:0050896	0.245	3	response to stress
GO:0006974	74	CC	1	1	GO:0006281	1	GO:0033554	1	5	cellular response to DNA damage stimulus
GO:0006996	73	CC	1	2	GO:0051276	1	GO:0016043	0.623931623931624	3	organelle organization
GO:0007018	67	CC	0	2	NA	0	GO:0006928	1	5	microtubule-based movement
GO:0007154	463	CC	2	1	GO:0007165	1	GO:0044763	0.34220251293422	4	cell communication
GO:0007156	40	CC	0	1	NA	0	GO:0098609	1	5	homophilic cell adhesion
GO:0007166	184	CC	0	1	NA	0	GO:0007165	0.397408207343413	5	cell surface receptor signaling pathway
GO:0007264	145	CC	1	1	GO:0051056	0	GO:0035556	1	6	small GTPase mediated signal transduction
GO:0050877	199	CC	1	1	GO:0007600	1	GO:0003008	1	5	neurological system process
GO:0007600	199	CC	0	1	NA	0	GO:0050877	1	6	sensory perception
GO:0008033	28	CC	0	2	NA	0	GO:0034470	0.823529411764706	8	tRNA processing
GO:0008150	5088	CC	12	0	GO:0008152	0.676690251572327	NA	NA	1	biological_process
GO:0008610	10	CC	3	3	GO:0008654	1	GO:0006629	1	5	lipid biosynthetic process
GO:0008654	10	CC	1	4	GO:0046474	1	GO:0006644	1	5	phospholipid biosynthetic process
GO:0009056	107	CC	4	1	GO:0044248	1	GO:0008152	0.0310775486494336	3	catabolic process
GO:0009057	77	CC	2	2	GO:0030163	1	GO:1901575	0.719626168224299	5	macromolecule catabolic process
GO:0009058	681	CC	4	1	GO:0044249	1	GO:0008152	0.19779262271275	3	biosynthetic process
GO:0009059	571	CC	3	2	GO:0034645	1	GO:1901576	0.838472834067548	5	macromolecule biosynthetic process
GO:0009060	8	CC	1	1	GO:0006099	1	GO:0045333	1	6	aerobic respiration
GO:0009072	9	CC	0	3	NA	0	GO:0006520	0.0681818181818182	5	aromatic amino acid family metabolic process
GO:0009108	7	CC	2	2	GO:0006729	0.571428571428571	GO:0006732	1	6	coenzyme biosynthetic process
GO:0009116	106	CC	6	4	GO:0042278	1	GO:1901657	1	5	nucleoside metabolic process
GO:0009117	118	CC	8	1	GO:0006163	0.983050847457627	GO:0006753	0.929133858267717	6	nucleotide metabolic process
GO:0009118	29	CC	1	2	GO:0033124	1	GO:0009116	0.273584905660377	6	regulation of nucleoside metabolic process
GO:0009119	106	CC	4	1	GO:0046128	1	GO:0009116	1	6	ribonucleoside metabolic process
GO:0009123	77	CC	3	1	GO:0009124	1	GO:0006753	0.606299212598425	6	nucleoside monophosphate metabolic process
GO:0009124	77	CC	2	2	GO:0009127	1	GO:0009123	1	6	nucleoside monophosphate biosynthetic process
GO:0009126	77	CC	2	1	GO:0009127	1	GO:0009123	1	7	purine nucleoside monophosphate metabolic process
GO:0009127	77	CC	1	2	GO:0009168	0.116883116883117	GO:0009124	1	7	purine nucleoside monophosphate biosynthetic process
GO:0009141	103	CC	5	1	GO:0009144	1	GO:0006753	0.811023622047244	6	nucleoside triphosphate metabolic process
GO:0009142	74	CC	3	2	GO:0009145	1	GO:1901293	0.770833333333333	6	nucleoside triphosphate biosynthetic process
GO:0009143	29	CC	2	2	GO:0009146	1	GO:1901292	1	6	nucleoside triphosphate catabolic process
GO:0009144	103	CC	3	1	GO:0009205	1	GO:0009141	1	7	purine nucleoside triphosphate metabolic process
GO:0009145	74	CC	1	2	GO:0009206	1	GO:0009142	1	7	purine nucleoside triphosphate biosynthetic process
GO:0009146	29	CC	1	2	GO:0009207	1	GO:0009143	1	7	purine nucleoside triphosphate catabolic process
GO:0009147	6	CC	2	1	GO:0009148	1	GO:0009141	0.058252427184466	7	pyrimidine nucleoside triphosphate metabolic process
GO:0009148	6	CC	1	2	GO:0009209	1	GO:0009147	1	7	pyrimidine nucleoside triphosphate biosynthetic process
GO:0009150	116	CC	6	2	GO:0009152	0.75	GO:0006163	1	7	purine ribonucleotide metabolic process
GO:0009152	87	CC	4	3	GO:0006754	0.781609195402299	GO:0006164	1	8	purine ribonucleotide biosynthetic process
GO:0009154	29	CC	1	3	GO:0006184	1	GO:0006195	1	7	purine ribonucleotide catabolic process
GO:0009156	77	CC	1	2	GO:0009168	0.116883116883117	GO:0009124	1	7	ribonucleoside monophosphate biosynthetic process
GO:0009161	77	CC	2	1	GO:0009156	1	GO:0009123	1	7	ribonucleoside monophosphate metabolic process
GO:0009163	77	CC	3	5	GO:0042451	1	GO:1901659	1	6	nucleoside biosynthetic process
GO:0009164	29	CC	2	5	GO:0006152	1	GO:0034655	1	6	nucleoside catabolic process
GO:0009165	87	CC	4	2	GO:0006164	1	GO:1901293	0.90625	6	nucleotide biosynthetic process
GO:0009166	29	CC	3	2	GO:0006195	1	GO:1901292	1	6	nucleotide catabolic process
GO:0009167	77	CC	2	2	GO:0046034	0.883116883116883	GO:0009126	1	8	purine ribonucleoside monophosphate metabolic process
GO:0009168	9	CC	1	3	GO:0006754	0	GO:0009127	0.116883116883117	8	purine ribonucleoside monophosphate biosynthetic process
GO:0009187	10	CC	2	1	GO:0009190	1	GO:0009117	0.0847457627118644	7	cyclic nucleotide metabolic process
GO:0009190	10	CC	1	2	GO:0052652	1	GO:0009187	1	7	cyclic nucleotide biosynthetic process
GO:0009199	103	CC	4	1	GO:0009205	1	GO:0009141	1	7	ribonucleoside triphosphate metabolic process
GO:0009201	74	CC	2	2	GO:0009206	1	GO:0009142	1	7	ribonucleoside triphosphate biosynthetic process
GO:0009203	29	CC	1	2	GO:0009207	1	GO:0009143	1	7	ribonucleoside triphosphate catabolic process
GO:0009205	103	CC	4	2	GO:0009206	0.718446601941748	GO:0009144	1	8	purine ribonucleoside triphosphate metabolic process
GO:0009206	74	CC	2	3	GO:0006754	0.918918918918919	GO:0009145	1	8	purine ribonucleoside triphosphate biosynthetic process
GO:0009207	29	CC	1	3	GO:0006184	1	GO:0009146	1	8	purine ribonucleoside triphosphate catabolic process
GO:0009208	6	CC	3	2	GO:0009209	1	GO:0009147	1	8	pyrimidine ribonucleoside triphosphate metabolic process
GO:0009209	6	CC	2	3	GO:0006228	1	GO:0009148	1	8	pyrimidine ribonucleoside triphosphate biosynthetic process
GO:0009218	6	CC	3	2	GO:0009220	1	GO:0006220	1	7	pyrimidine ribonucleotide metabolic process
GO:0009220	6	CC	2	3	GO:0006228	1	GO:0006221	1	8	pyrimidine ribonucleotide biosynthetic process
GO:0009225	2	CC	1	2	GO:0019673	1	GO:0009117	0.0169491525423729	5	nucleotide-sugar metabolic process
GO:0009247	10	CC	1	3	GO:0006506	1	GO:0006664	1	6	glycolipid biosynthetic process
GO:0009259	116	CC	4	2	GO:0009150	1	GO:0019693	1	6	ribonucleotide metabolic process
GO:0009260	87	CC	2	3	GO:0009152	1	GO:0009165	1	7	ribonucleotide biosynthetic process
GO:0009261	29	CC	1	3	GO:0009154	1	GO:0009166	1	6	ribonucleotide catabolic process
GO:0009266	11	CC	1	1	GO:0009408	1	GO:0009628	1	4	response to temperature stimulus
GO:0009408	11	CC	0	2	NA	0	GO:0009266	1	4	response to heat
GO:0009451	6	CC	2	2	GO:0000154	1	GO:0043412	0.0659340659340659	6	RNA modification
GO:0009628	11	CC	1	1	GO:0009266	1	GO:0050896	0.0183333333333333	3	response to abiotic stimulus
GO:0009889	201	CC	2	2	GO:0010556	1	GO:0019222	0.858974358974359	4	regulation of biosynthetic process
GO:0009894	29	CC	1	2	GO:0031329	1	GO:0009056	0.271028037383178	4	regulation of catabolic process
GO:0009966	29	CC	1	4	GO:1902531	1	GO:0010646	1	4	regulation of signal transduction
GO:0009987	2983	CC	5	1	GO:0044237	0.686892390211197	GO:0008150	0.586281446540881	2	cellular process
GO:0010467	622	CC	4	1	GO:0006412	0.464630225080386	GO:0043170	0.365237815619495	5	gene expression
GO:0010468	205	CC	2	2	GO:0006355	0.980487804878049	GO:0060255	1	5	regulation of gene expression
GO:0010556	201	CC	2	3	GO:2000112	1	GO:0009889	1	5	regulation of macromolecule biosynthetic process
GO:0010646	29	CC	1	2	GO:0009966	1	GO:0050794	0.0409026798307475	4	regulation of cell communication
GO:0022607	44	CC	1	2	GO:0065003	1	GO:0044085	0.88	4	cellular component assembly
GO:0015031	183	CC	1	2	GO:0006886	0.66120218579235	GO:0045184	1	5	protein transport
GO:0015672	22	CC	1	1	GO:0006814	1	GO:0006812	0.709677419354839	6	monovalent inorganic cation transport
GO:0015711	10	CC	1	2	GO:0046942	1	GO:0006820	1	6	organic anion transport
GO:0015849	10	CC	1	2	GO:0046942	1	GO:0071702	0.0518134715025907	4	organic acid transport
GO:0015936	3	CC	1	5	GO:0015937	1	GO:0033875	1	6	coenzyme A metabolic process
GO:0015937	3	CC	0	6	NA	0	GO:0015936	1	7	coenzyme A biosynthetic process
GO:0015980	8	CC	1	3	GO:0045333	1	GO:0006091	1	4	energy derivation by oxidation of organic compounds
GO:0016043	117	CC	4	1	GO:0006325	0.623931623931624	GO:0071840	0.951219512195122	3	cellular component organization
GO:0016070	380	CC	5	2	GO:0032774	0.563157894736842	GO:0090304	0.749506903353057	5	RNA metabolic process
GO:0016072	6	CC	1	1	GO:0006364	1	GO:0034660	0.075	7	rRNA metabolic process
GO:0016311	36	CC	1	1	GO:0006470	1	GO:0006796	0.208092485549133	6	dephosphorylation
GO:0016482	9	CC	1	1	GO:0006888	1	GO:0046907	0.0714285714285714	6	cytoplasmic transport
GO:0018130	324	CC	5	2	GO:0034654	0.95679012345679	GO:0044249	0.475770925110132	5	heterocycle biosynthetic process
GO:0018904	15	CC	1	2	GO:0006662	1	GO:0044281	0.0549450549450549	4	ether metabolic process
GO:0019219	230	CC	3	4	GO:0051252	0.873913043478261	GO:0031323	1	5	regulation of nucleobase-containing compound metabolic process
GO:0019220	29	CC	1	2	GO:0006140	1	GO:0051174	1	6	regulation of phosphate metabolic process
GO:0019222	234	CC	7	2	GO:0031323	0.982905982905983	GO:0050789	0.328190743338008	3	regulation of metabolic process
GO:0019438	324	CC	4	2	GO:0034654	0.95679012345679	GO:0044249	0.475770925110132	5	aromatic compound biosynthetic process
GO:0019439	30	CC	3	2	GO:0034655	0.966666666666667	GO:0044248	0.280373831775701	5	aromatic compound catabolic process
GO:0019538	1254	CC	5	2	GO:0044267	0.725677830940989	GO:0043170	0.736347621843805	4	protein metabolic process
GO:0019637	137	CC	5	2	GO:0006753	0.927007299270073	GO:0006793	0.791907514450867	4	organophosphate metabolic process
GO:0019673	2	CC	0	1	NA	0	GO:0009225	1	6	GDP-mannose metabolic process
GO:0019693	116	CC	2	3	GO:0009259	1	GO:1901135	0.90625	5	ribose phosphate metabolic process
GO:0019725	38	CC	2	2	GO:0045454	0.815789473684211	GO:0042592	1	4	cellular homeostasis
GO:0019752	132	CC	1	1	GO:0006520	1	GO:0043436	1	6	carboxylic acid metabolic process
GO:0022403	14	CC	1	1	GO:0000279	1	GO:0044848	1	3	cell cycle phase
GO:0022610	96	CC	1	1	GO:0007155	1	GO:0008150	0.0188679245283019	2	biological adhesion
GO:0022613	6	CC	1	1	GO:0042254	1	GO:0044085	0.12	4	ribonucleoprotein complex biogenesis
GO:0033554	74	CC	1	2	GO:0006974	1	GO:0006950	0.503401360544218	4	cellular response to stress
GO:0023052	463	CC	1	1	GO:0044700	1	GO:0008150	0.090998427672956	2	signaling
GO:0023051	29	CC	1	2	GO:0009966	1	GO:0050789	0.0406732117812062	3	regulation of signaling
GO:0030003	7	CC	1	2	GO:0006875	1	GO:0006873	1	7	cellular cation homeostasis
GO:0030163	77	CC	1	2	GO:0044257	1	GO:0009057	1	5	protein catabolic process
GO:0030811	29	CC	1	3	GO:0033121	1	GO:0006140	1	6	regulation of nucleotide catabolic process
GO:0031167	6	CC	0	2	NA	0	GO:0000154	1	6	rRNA methylation
GO:0031323	230	CC	4	3	GO:0019219	1	GO:0019222	0.982905982905983	4	regulation of cellular metabolic process
GO:0031326	201	CC	2	3	GO:2000112	1	GO:0009889	1	5	regulation of cellular biosynthetic process
GO:0031329	29	CC	1	3	GO:0030811	1	GO:0009894	1	5	regulation of cellular catabolic process
GO:0032259	21	CC	1	1	GO:0043414	0.476190476190476	GO:0008152	0.00609933197792623	3	methylation
GO:0032313	29	CC	0	2	NA	0	GO:0032318	1	8	regulation of Rab GTPase activity
GO:0032318	29	CC	1	2	GO:0032313	1	GO:0043087	1	7	regulation of Ras GTPase activity
GO:0032483	29	CC	1	1	GO:0032313	1	GO:0046578	1	8	regulation of Rab protein signal transduction
GO:0032501	199	CC	1	1	GO:0044707	1	GO:0008150	0.0391116352201258	2	multicellular organismal process
GO:0032774	214	CC	4	3	GO:0006351	0.990654205607477	GO:0034654	0.690322580645161	6	RNA biosynthetic process
GO:0033013	11	CC	3	4	GO:0033014	0.909090909090909	GO:1901564	0.0418250950570342	5	tetrapyrrole metabolic process
GO:0033014	10	CC	0	6	NA	0	GO:0033013	0.909090909090909	6	tetrapyrrole biosynthetic process
GO:0033015	1	CC	1	6	GO:0006787	1	GO:0033013	0.0909090909090909	6	tetrapyrrole catabolic process
GO:0033036	183	CC	2	1	GO:0008104	1	GO:0051179	0.184475806451613	3	macromolecule localization
GO:0033121	29	CC	1	3	GO:0033124	1	GO:0030811	1	7	regulation of purine nucleotide catabolic process
GO:0033124	29	CC	1	3	GO:0043087	1	GO:0009118	1	7	regulation of GTP catabolic process
GO:0033865	3	CC	3	1	GO:0033866	1	GO:0006753	0.0236220472440945	6	nucleoside bisphosphate metabolic process
GO:0033866	3	CC	2	2	GO:0034030	1	GO:0033865	1	6	nucleoside bisphosphate biosynthetic process
GO:0033875	3	CC	2	1	GO:0015936	1	GO:0033865	1	7	ribonucleoside bisphosphate metabolic process
GO:0034030	3	CC	1	2	GO:0015937	1	GO:0033866	1	7	ribonucleoside bisphosphate biosynthetic process
GO:0034032	3	CC	2	2	GO:0015936	1	GO:0033865	1	6	purine nucleoside bisphosphate metabolic process
GO:0034033	3	CC	1	3	GO:0015937	1	GO:0033866	1	7	purine nucleoside bisphosphate biosynthetic process
GO:0034470	34	CC	2	2	GO:0008033	0.823529411764706	GO:0034660	0.425	7	ncRNA processing
GO:0034613	121	CC	1	2	GO:0006886	1	GO:0070727	1	5	cellular protein localization
GO:0034622	44	CC	1	1	GO:0043623	1	GO:0065003	1	6	cellular macromolecular complex assembly
GO:0034641	866	CC	5	2	GO:0006139	0.982678983833718	GO:0006807	0.915433403805497	4	cellular nitrogen compound metabolic process
GO:0034645	571	CC	6	3	GO:0006412	0.506129597197898	GO:0009059	1	5	cellular macromolecule biosynthetic process
GO:0034654	310	CC	3	5	GO:0032774	0.690322580645161	GO:0018130	0.95679012345679	5	nucleobase-containing compound biosynthetic process
GO:0034655	29	CC	2	5	GO:0009164	1	GO:0019439	0.966666666666667	5	nucleobase-containing compound catabolic process
GO:0034660	80	CC	3	1	GO:0006399	0.925	GO:0016070	0.210526315789474	6	ncRNA metabolic process
GO:0036211	81	CC	1	2	GO:0006464	1	GO:0043412	0.89010989010989	5	protein modification process
GO:0040029	4	CC	1	1	GO:0006306	1	GO:0010468	0.0195121951219512	6	regulation of gene expression, epigenetic
GO:0042157	10	CC	1	1	GO:0042158	1	GO:0019538	0.00797448165869218	5	lipoprotein metabolic process
GO:0042158	10	CC	1	2	GO:0006497	1	GO:0042157	1	6	lipoprotein biosynthetic process
GO:0042168	1	CC	1	3	GO:0006788	1	GO:0006778	1	4	heme metabolic process
GO:0042440	1	CC	1	1	GO:0042168	1	GO:0044710	0.00117924528301887	4	pigment metabolic process
GO:0042451	77	CC	1	3	GO:0046129	1	GO:0009163	1	7	purine nucleoside biosynthetic process
GO:0042454	29	CC	1	2	GO:0046130	1	GO:0009164	1	7	ribonucleoside catabolic process
GO:0042455	77	CC	2	2	GO:0046129	1	GO:0009163	1	7	ribonucleoside biosynthetic process
GO:0042558	4	CC	2	4	GO:0042559	1	GO:1901564	0.0152091254752852	5	pteridine-containing compound metabolic process
GO:0042559	4	CC	1	6	GO:0006729	1	GO:0042558	1	6	pteridine-containing compound biosynthetic process
GO:0042592	38	CC	2	1	GO:0019725	1	GO:0065008	1	4	homeostatic process
GO:0043038	48	CC	1	1	GO:0043039	1	GO:0006520	0.363636363636364	5	amino acid activation
GO:0043039	48	CC	1	2	GO:0006418	0.916666666666667	GO:0043038	1	6	tRNA aminoacylation
GO:0043087	29	CC	1	2	GO:0032318	1	GO:0033124	1	6	regulation of GTPase activity
GO:0043170	1703	CC	8	1	GO:0044260	0.798003523194363	GO:0071704	0.686693548387097	4	macromolecule metabolic process
GO:0043412	91	CC	4	1	GO:0036211	0.89010989010989	GO:0043170	0.0534351145038168	5	macromolecule modification
GO:0043414	10	CC	2	3	GO:0001510	0.6	GO:0032259	0.476190476190476	4	macromolecule methylation
GO:0043436	132	CC	1	1	GO:0019752	1	GO:0006082	1	5	oxoacid metabolic process
GO:0043623	44	CC	1	2	GO:0051258	1	GO:0006461	1	6	cellular protein complex assembly
GO:0043632	63	CC	1	1	GO:0019941	1	GO:0044265	0.818181818181818	6	modification-dependent macromolecule catabolic process
GO:0043687	35	CC	0	1	NA	0	GO:0006464	0.432098765432099	7	post-translational protein modification
GO:0043933	44	CC	2	1	GO:0065003	1	GO:0016043	0.376068376068376	4	macromolecular complex subunit organization
