GeneID	Symbol	Description	UID-str	parent GOID	GO Name
LOCMI15884	LOCMI15884	Q1HR38_AEDAE Hydrogen-transporting ATP synthase, G-subunit, putative	LOCMI15884	GO:0005737	cytoplasm
LOCMI15925	LOCMI15925	AGAP001138-PA	LOCMI15925	GO:0005737	cytoplasm
LOCMI10600	LOCMI10600	putative ribosomal protein S4e	LOCMI10600	GO:0005737	cytoplasm
LOCMI07867	LOCMI07867	ribosomal protein L14	LOCMI07867	GO:0005737	cytoplasm
LOCMI02250	LOCMI02250	PREDICTED: 40S ribosomal protein S16	LOCMI02250	GO:0005737	cytoplasm
LOCMI05642	LOCMI05642	putative ribosomal protein S23e	LOCMI05642	GO:0005737	cytoplasm
LOCMI10353	LOCMI10353	putative ribosomal protein S14	LOCMI10353	GO:0005737	cytoplasm
LOCMI04634	LOCMI04634	40S ribosomal protein S13	LOCMI04634	GO:0005737	cytoplasm
LOCMI09605	LOCMI09605	putative ribosomal protein 49	LOCMI09605	GO:0005737	cytoplasm
LOCMI00586	LOCMI00586	Q2F5V6_BOMMO Translocase of inner mitochondrial membrane 8 homolog b	LOCMI00586	GO:0005737	cytoplasm
LOCMI00585	LOCMI00585	Q2F5V6_BOMMO Translocase of inner mitochondrial membrane 8 homolog b	LOCMI00585	GO:0005737	cytoplasm
LOCMI02121	LOCMI02121	PREDICTED: 40S ribosomal protein S9-like	LOCMI02121	GO:0005737	cytoplasm
LOCMI10036	LOCMI10036	ribosomal protein L22	LOCMI10036	GO:0005737	cytoplasm
LOCMI15895	LOCMI15895	cytochrome c oxidase subunit VIIA putative	LOCMI15895	GO:0005737	cytoplasm
LOCMI13143	LOCMI13143	ribosomal protein L36e	LOCMI13143	GO:0005737	cytoplasm
LOCMI15892	LOCMI15892	AGAP000849-PA	LOCMI15892	GO:0005737	cytoplasm
LOCMI15959	LOCMI15959	Cytochrome c oxidase subunit 5B, mitochondrial	LOCMI15959	GO:0005737	cytoplasm
LOCMI13626	LOCMI13626	60S ribosomal protein L12	LOCMI13626	GO:0005737	cytoplasm
LOCMI15952	LOCMI15952	D6WEW9_TRICA Putative uncharacterized protein	LOCMI15952	GO:0005737	cytoplasm
LOCMI00502	LOCMI00502	40S ribosomal protein S21, putative	LOCMI00502	GO:0005737	cytoplasm
LOCMI10269	LOCMI10269	ubiquitin/ribosomal protein S27Ae fusion protein	LOCMI10269	GO:0005737	cytoplasm
LOCMI13355	LOCMI13355	PREDICTED: 40S ribosomal protein S18	LOCMI13355	GO:0005737	cytoplasm
LOCMI03768	LOCMI03768	PREDICTED: 40S ribosomal protein S14a	LOCMI03768	GO:0005737	cytoplasm
LOCMI01674	LOCMI01674	PREDICTED: 60S ribosomal protein L3-like	LOCMI01674	GO:0005737	cytoplasm
LOCMI02068	LOCMI02068	ribosomal protein S13	LOCMI02068	GO:0005737	cytoplasm
LOCMI07458	LOCMI07458	mitochondrial ribosomal protein, L33	LOCMI07458	GO:0005737	cytoplasm
LOCMI02404	LOCMI02404	PREDICTED: dipeptidyl peptidase 3-like	LOCMI02404	GO:0005737	cytoplasm
LOCMI06222	LOCMI06222	Q4GXD7_PLAAL Ribosomal protein L26e	LOCMI06222	GO:0005737	cytoplasm
LOCMI01110	LOCMI01110	PREDICTED: 40S ribosomal protein S26	LOCMI01110	GO:0005737	cytoplasm
LOCMI13033	LOCMI13033	PREDICTED: ATP synthase subunit epsilon, mitochondrial-like isoform 1	LOCMI13033	GO:0005737	cytoplasm
LOCMI15760	LOCMI15760	D6WQQ4_TRICA Putative uncharacterized protein	LOCMI15760	GO:0005737	cytoplasm
LOCMI04853	LOCMI04853	signal recognition particle	LOCMI04853	GO:0005737	cytoplasm
LOCMI01704	LOCMI01704	PREDICTED: ubiquitin-40S ribosomal protein S27a-like isoform 2	LOCMI01704	GO:0005737	cytoplasm
LOCMI16006	LOCMI16006	H+ transporting ATP synthase subunit e	LOCMI16006	GO:0005737	cytoplasm
LOCMI05114	LOCMI05114	ribosomal protein L35	LOCMI05114	GO:0005737	cytoplasm
LOCMI16008	LOCMI16008	D6WXE2_TRICA Putative uncharacterized protein	LOCMI16008	GO:0005737	cytoplasm
LOCMI02690	LOCMI02690	Q56FF3_LYSTE Ribosomal protein S15A	LOCMI02690	GO:0005737	cytoplasm
LOCMI12838	LOCMI12838	Q1HQH5_AEDAE House keepingprotein, putative	LOCMI12838	GO:0005737	cytoplasm
LOCMI09539	LOCMI09539	ribosomal protein S30	LOCMI09539	GO:0005737	cytoplasm
LOCMI13842	LOCMI13842	GL15397	LOCMI13842	GO:0005737	cytoplasm
LOCMI15194	LOCMI15194	Elongation factor 1-beta'	LOCMI15194	GO:0005737	cytoplasm
LOCMI08559	LOCMI08559	GA15071	LOCMI08559	GO:0005737	cytoplasm
LOCMI06123	LOCMI06123	B0W950_CULQU Putative uncharacterized protein	LOCMI06123	GO:0005737	cytoplasm
LOCMI06122	LOCMI06122	B0W950_CULQU Putative uncharacterized protein	LOCMI06122	GO:0005737	cytoplasm
LOCMI11744	LOCMI11744	RecName: Full=40S ribosomal protein S13 gb|AAK92182.1|AF400210_1 ribosomal protein S13	LOCMI11744	GO:0005737	cytoplasm
LOCMI15976	LOCMI15976	cytochrome c oxidase subunit VIIA putative	LOCMI15976	GO:0005737	cytoplasm
LOCMI15205	LOCMI15205	60S ribosomal protein L38	LOCMI15205	GO:0005737	cytoplasm
LOCMI09144	LOCMI09144	ribosomal protein L10	LOCMI09144	GO:0005737	cytoplasm
LOCMI15979	LOCMI15979	GF16047	LOCMI15979	GO:0005737	cytoplasm
LOCMI09269	LOCMI09269	PREDICTED: 40S ribosomal protein S16	LOCMI09269	GO:0005737	cytoplasm
LOCMI04863	LOCMI04863	PREDICTED: 60S ribosomal protein L9	LOCMI04863	GO:0005737	cytoplasm
LOCMI15915	LOCMI15915	cytochrome c oxidase, subunit VIA, putative	LOCMI15915	GO:0005737	cytoplasm
LOCMI14590	LOCMI14590	60S ribosomal protein L8	LOCMI14590	GO:0005737	cytoplasm
LOCMI05618	LOCMI05618	60S ribosomal protein L8	LOCMI05618	GO:0005737	cytoplasm
LOCMI01469	LOCMI01469	putative ribosomal protein S27	LOCMI01469	GO:0005737	cytoplasm
LOCMI07300	LOCMI07300	PREDICTED: ubiquitin-like protein FUBI-like	LOCMI07300	GO:0005737	cytoplasm
LOCMI01789	LOCMI01789	60S ribosomal protein L21	LOCMI01789	GO:0005737	cytoplasm
LOCMI16085	LOCMI16085	D6WQQ4_TRICA Putative uncharacterized protein	LOCMI16085	GO:0005737	cytoplasm
LOCMI16084	LOCMI16084	AGAP004616-PA	LOCMI16084	GO:0005737	cytoplasm
LOCMI13660	LOCMI13660	Mitochondrial import inner membrane translocase subunit Tim22	LOCMI13660	GO:0005737	cytoplasm
LOCMI06322	LOCMI06322	GF14155	LOCMI06322	GO:0005737	cytoplasm
LOCMI08029	LOCMI08029	60S ribosomal protein L38	LOCMI08029	GO:0005737	cytoplasm
LOCMI00164	LOCMI00164	ribosomal protein L35Ae	LOCMI00164	GO:0005737	cytoplasm
LOCMI10621	LOCMI10621	ribosomal protein L31e	LOCMI10621	GO:0005737	cytoplasm
LOCMI09316	LOCMI09316	ribosomal protein S8	LOCMI09316	GO:0005737	cytoplasm
LOCMI13569	LOCMI13569	Q4LAY4_9COLE Ribosomal protein S28e	LOCMI13569	GO:0005737	cytoplasm
LOCMI03184	LOCMI03184	complement component	LOCMI03184	GO:0005737	cytoplasm
LOCMI11496	LOCMI11496	PREDICTED: 40S ribosomal protein S19a-like	LOCMI11496	GO:0005737	cytoplasm
LOCMI07539	LOCMI07539	PREDICTED: 60S ribosomal protein L15	LOCMI07539	GO:0005737	cytoplasm
LOCMI16102	LOCMI16102	vacuolar ATPase G subunit-like protein	LOCMI16102	GO:0005737	cytoplasm
LOCMI15980	LOCMI15980	ubiquinol-cytochrome c reductase complex	LOCMI15980	GO:0005737	cytoplasm
LOCMI12288	LOCMI12288	60S ribosomal protein L44	LOCMI12288	GO:0005737	cytoplasm
LOCMI05567	LOCMI05567	40S ribosomal protein S24	LOCMI05567	GO:0005737	cytoplasm
LOCMI15434	LOCMI15434	PREDICTED: 40S ribosomal protein S15	LOCMI15434	GO:0005737	cytoplasm
LOCMI09452	LOCMI09452	60S ribosomal protein L38	LOCMI09452	GO:0005737	cytoplasm
LOCMI07012	LOCMI07012	60S ribosomal protein L21	LOCMI07012	GO:0005737	cytoplasm
LOCMI16039	LOCMI16039	succinate dehydrogenase, putative	LOCMI16039	GO:0005737	cytoplasm
LOCMI05214	LOCMI05214	ribosomal protein L35	LOCMI05214	GO:0005737	cytoplasm
LOCMI07932	LOCMI07932	Q0E8V7_DROME CG34132	LOCMI07932	GO:0005737	cytoplasm
LOCMI02613	LOCMI02613	PREDICTED: 60S ribosomal protein L4-like	LOCMI02613	GO:0005737	cytoplasm
LOCMI02563	LOCMI02563	ribosomal protein L13	LOCMI02563	GO:0005737	cytoplasm
LOCMI14604	LOCMI14604	C3XUB4_BRAFL Putative uncharacterized protein	LOCMI14604	GO:0005737	cytoplasm
LOCMI00130	LOCMI00130	PREDICTED: 60S ribosomal protein L38-like	LOCMI00130	GO:0005737	cytoplasm
LOCMI12177	LOCMI12177	40S ribosomal protein S15a	LOCMI12177	GO:0005737	cytoplasm
LOCMI00680	LOCMI00680	PREDICTED: 60S ribosomal protein L11-like	LOCMI00680	GO:0005737	cytoplasm
LOCMI08528	LOCMI08528	ribosomal protein L13	LOCMI08528	GO:0005737	cytoplasm
LOCMI09731	LOCMI09731	S20e ribosomal protein	LOCMI09731	GO:0005737	cytoplasm
LOCMI09637	LOCMI09637	Q56FD3_LYSTE Ribosomal protein L13a	LOCMI09637	GO:0005737	cytoplasm
LOCMI15838	LOCMI15838	B0X2B1_CULQU Putative uncharacterized protein	LOCMI15838	GO:0005737	cytoplasm
LOCMI07717	LOCMI07717	40S ribosomal protein S24	LOCMI07717	GO:0005737	cytoplasm
LOCMI11068	LOCMI11068	ribosomal protein L36e	LOCMI11068	GO:0005737	cytoplasm
LOCMI08448	LOCMI08448	ribosomal protein L8e	LOCMI08448	GO:0005737	cytoplasm
LOCMI09135	LOCMI09135	Q56FH5_LYSTE Ribosomal protein L8	LOCMI09135	GO:0005737	cytoplasm
LOCMI12362	LOCMI12362	39S ribosomal protein L11, mitochondrial	LOCMI12362	GO:0005737	cytoplasm
LOCMI10394	LOCMI10394	ribosomal protein L35	LOCMI10394	GO:0005737	cytoplasm
LOCMI00915	LOCMI00915	signal peptidase complex subunit 1-like protein	LOCMI00915	GO:0005737	cytoplasm
LOCMI16024	LOCMI16024	GH10285	LOCMI16024	GO:0005737	cytoplasm
LOCMI06257	LOCMI06257	PREDICTED: 40S ribosomal protein S5a-like	LOCMI06257	GO:0005737	cytoplasm
LOCMI03500	LOCMI03500	60S ribosomal protein L44	LOCMI03500	GO:0005737	cytoplasm
LOCMI02554	LOCMI02554	PREDICTED: proteasome subunit alpha type-7-like	LOCMI02554	GO:0051603	proteolysis involved in cellular protein catabolic process
LOCMI00111	LOCMI00111	ubiquitin carboxy-terminal hydrolase CG4265	LOCMI00111	GO:0051603	proteolysis involved in cellular protein catabolic process
LOCMI01417	LOCMI01417	PREDICTED: similar to proteasome subunit beta type 5,8	LOCMI01417	GO:0051603	proteolysis involved in cellular protein catabolic process
LOCMI00466	LOCMI00466	B6ZAY6_HELAM Proteasome subunit beta 1	LOCMI00466	GO:0051603	proteolysis involved in cellular protein catabolic process
LOCMI06183	LOCMI06183	ubiquitin carboxy-terminal hydrolase CG4265	LOCMI06183	GO:0051603	proteolysis involved in cellular protein catabolic process
LOCMI10952	LOCMI10952	Proteasome subunit beta type-3	LOCMI10952	GO:0051603	proteolysis involved in cellular protein catabolic process
LOCMI15207	LOCMI15207	transcription elongation factor B polypeptide 1	LOCMI15207	GO:0051603	proteolysis involved in cellular protein catabolic process
LOCMI15334	LOCMI15334	proteasome subunit beta 7	LOCMI15334	GO:0051603	proteolysis involved in cellular protein catabolic process
LOCMI00692	LOCMI00692	prefoldin subunit, putative	LOCMI00692	GO:0005622	intracellular
LOCMI13545	LOCMI13545	60S ribosomal protein L8	LOCMI13545	GO:0005622	intracellular
LOCMI07886	LOCMI07886	B0WL56_CULQU 39S ribosomal protein L14, mitochondrial	LOCMI07886	GO:0005622	intracellular
LOCMI07885	LOCMI07885	H2A	LOCMI07885	GO:0005622	intracellular
LOCMI03326	LOCMI03326	40S ribosomal protein S11	LOCMI03326	GO:0005622	intracellular
LOCMI15795	LOCMI15795	PREDICTED: similar to NADH-ubiquinone oxidoreductase ashi subunit	LOCMI15795	GO:0005622	intracellular
LOCMI08350	LOCMI08350	Histone H2B	LOCMI08350	GO:0005622	intracellular
LOCMI16039	LOCMI16039	succinate dehydrogenase, putative	LOCMI16039	GO:0005622	intracellular
LOCMI09474	LOCMI09474	High mobility group, HMG-I/HMG-Y IPR020478; AT hook-like	LOCMI09474	GO:0005622	intracellular
LOCMI03823	LOCMI03823	ribosomal protein L19e	LOCMI03823	GO:0005622	intracellular
LOCMI02753	LOCMI02753	A6YPG5_TRIIF 40S ribosomal protein S11	LOCMI02753	GO:0005622	intracellular
LOCMI06602	LOCMI06602	60S ribosomal protein L9	LOCMI06602	GO:0005622	intracellular
LOCMI13397	LOCMI13397	Q4GXE5_JULON Ribosomal protein L24e	LOCMI13397	GO:0005622	intracellular
LOCMI13395	LOCMI13395	ribosomal protein L35	LOCMI13395	GO:0005622	intracellular
LOCMI14842	LOCMI14842	DNA polymerase epsilon subunit 3	LOCMI14842	GO:0005622	intracellular
LOCMI05377	LOCMI05377	RecName: Full=40S ribosomal protein S3a gb|AAW57773.1| Parcxpwex01	LOCMI05377	GO:0005622	intracellular
LOCMI01249	LOCMI01249	60S ribosomal protein L35a	LOCMI01249	GO:0005622	intracellular
LOCMI10998	LOCMI10998	PREDICTED: prefoldin subunit 6-like	LOCMI10998	GO:0005622	intracellular
LOCMI00111	LOCMI00111	ubiquitin carboxy-terminal hydrolase CG4265	LOCMI00111	GO:0005622	intracellular
LOCMI11190	LOCMI11190	mitochondrial ribosomal protein, S18C, putative	LOCMI11190	GO:0005622	intracellular
LOCMI04546	LOCMI04546	PREDICTED: prefoldin subunit 6-like	LOCMI04546	GO:0005622	intracellular
LOCMI00466	LOCMI00466	B6ZAY6_HELAM Proteasome subunit beta 1	LOCMI00466	GO:0005622	intracellular
LOCMI16282	LOCMI16282	E9IEY1_SOLIN Putative uncharacterized protein (Fragment)	LOCMI16282	GO:0005622	intracellular
LOCMI09944	LOCMI09944	Probable prefoldin subunit 4	LOCMI09944	GO:0005622	intracellular
LOCMI05551	LOCMI05551	AGAP004818-PA	LOCMI05551	GO:0005622	intracellular
LOCMI06694	LOCMI06694	acidic ribosomal protein	LOCMI06694	GO:0005622	intracellular
LOCMI05713	LOCMI05713	G protein gamma subunit	LOCMI05713	GO:0005622	intracellular
LOCMI14700	LOCMI14700	PREDICTED: von Hippel-Lindau disease tumor suppressor	LOCMI14700	GO:0005622	intracellular
LOCMI09756	LOCMI09756	PREDICTED: 60S ribosomal protein L30-like	LOCMI09756	GO:0005622	intracellular
LOCMI04836	LOCMI04836	ribosomal protein L19e	LOCMI04836	GO:0005622	intracellular
LOCMI00611	LOCMI00611	calreticulin	LOCMI00611	GO:0005622	intracellular
LOCMI00924	LOCMI00924	Probable 26S proteasome non-ATPase regulatory subunit 3	LOCMI00924	GO:0005622	intracellular
LOCMI12559	LOCMI12559	PREDICTED: translocon-associated protein subunit gamma-like	LOCMI12559	GO:0005622	intracellular
LOCMI07471	LOCMI07471	ribosomal protein L6	LOCMI07471	GO:0005622	intracellular
LOCMI14937	LOCMI14937	PREDICTED: clathrin light chain-like	LOCMI14937	GO:0005622	intracellular
LOCMI06203	LOCMI06203	PREDICTED: similar to High mobility group protein DSP1 (Protein dorsal switch 1)	LOCMI06203	GO:0005622	intracellular
LOCMI15884	LOCMI15884	Q1HR38_AEDAE Hydrogen-transporting ATP synthase, G-subunit, putative	LOCMI15884	GO:0005622	intracellular
LOCMI15925	LOCMI15925	AGAP001138-PA	LOCMI15925	GO:0005622	intracellular
LOCMI02554	LOCMI02554	PREDICTED: proteasome subunit alpha type-7-like	LOCMI02554	GO:0005622	intracellular
LOCMI13526	LOCMI13526	Histone H2B	LOCMI13526	GO:0005622	intracellular
LOCMI10600	LOCMI10600	putative ribosomal protein S4e	LOCMI10600	GO:0005622	intracellular
LOCMI07867	LOCMI07867	ribosomal protein L14	LOCMI07867	GO:0005622	intracellular
LOCMI02250	LOCMI02250	PREDICTED: 40S ribosomal protein S16	LOCMI02250	GO:0005622	intracellular
LOCMI11349	LOCMI11349	Q17EQ5_AEDAE Lupus la ribonucleoprotein	LOCMI11349	GO:0005622	intracellular
LOCMI05642	LOCMI05642	putative ribosomal protein S23e	LOCMI05642	GO:0005622	intracellular
LOCMI10353	LOCMI10353	putative ribosomal protein S14	LOCMI10353	GO:0005622	intracellular
LOCMI04634	LOCMI04634	40S ribosomal protein S13	LOCMI04634	GO:0005622	intracellular
LOCMI09605	LOCMI09605	putative ribosomal protein 49	LOCMI09605	GO:0005622	intracellular
LOCMI00586	LOCMI00586	Q2F5V6_BOMMO Translocase of inner mitochondrial membrane 8 homolog b	LOCMI00586	GO:0005622	intracellular
LOCMI06183	LOCMI06183	ubiquitin carboxy-terminal hydrolase CG4265	LOCMI06183	GO:0005622	intracellular
LOCMI02121	LOCMI02121	PREDICTED: 40S ribosomal protein S9-like	LOCMI02121	GO:0005622	intracellular
LOCMI10036	LOCMI10036	ribosomal protein L22	LOCMI10036	GO:0005622	intracellular
LOCMI02613	LOCMI02613	PREDICTED: 60S ribosomal protein L4-like	LOCMI02613	GO:0005622	intracellular
LOCMI15895	LOCMI15895	cytochrome c oxidase subunit VIIA putative	LOCMI15895	GO:0005622	intracellular
LOCMI13143	LOCMI13143	ribosomal protein L36e	LOCMI13143	GO:0005622	intracellular
LOCMI15892	LOCMI15892	AGAP000849-PA	LOCMI15892	GO:0005622	intracellular
LOCMI15959	LOCMI15959	Cytochrome c oxidase subunit 5B, mitochondrial	LOCMI15959	GO:0005622	intracellular
LOCMI13626	LOCMI13626	60S ribosomal protein L12	LOCMI13626	GO:0005622	intracellular
LOCMI15952	LOCMI15952	D6WEW9_TRICA Putative uncharacterized protein	LOCMI15952	GO:0005622	intracellular
LOCMI07118	LOCMI07118	GTP-binding protein Rheb-like protein	LOCMI07118	GO:0005622	intracellular
LOCMI10269	LOCMI10269	ubiquitin/ribosomal protein S27Ae fusion protein	LOCMI10269	GO:0005622	intracellular
LOCMI13355	LOCMI13355	PREDICTED: 40S ribosomal protein S18	LOCMI13355	GO:0005622	intracellular
LOCMI03091	LOCMI03091	arp2/3 complex 21 kd subunit	LOCMI03091	GO:0005622	intracellular
LOCMI03768	LOCMI03768	PREDICTED: 40S ribosomal protein S14a	LOCMI03768	GO:0005622	intracellular
LOCMI01674	LOCMI01674	PREDICTED: 60S ribosomal protein L3-like	LOCMI01674	GO:0005622	intracellular
LOCMI17142	LOCMI17142	Small nuclear ribonucleoprotein F	LOCMI17142	GO:0005622	intracellular
LOCMI02021	LOCMI02021	A0NEA9_ANOGA AGAP005393-PA	LOCMI02021	GO:0005622	intracellular
LOCMI13837	LOCMI13837	tubulin alpha	LOCMI13837	GO:0005622	intracellular
LOCMI15194	LOCMI15194	Elongation factor 1-beta'	LOCMI15194	GO:0005622	intracellular
LOCMI07458	LOCMI07458	mitochondrial ribosomal protein, L33	LOCMI07458	GO:0005622	intracellular
LOCMI07397	LOCMI07397	ribosomal protein L13	LOCMI07397	GO:0005622	intracellular
LOCMI02404	LOCMI02404	PREDICTED: dipeptidyl peptidase 3-like	LOCMI02404	GO:0005622	intracellular
LOCMI06222	LOCMI06222	Q4GXD7_PLAAL Ribosomal protein L26e	LOCMI06222	GO:0005622	intracellular
LOCMI01110	LOCMI01110	PREDICTED: 40S ribosomal protein S26	LOCMI01110	GO:0005622	intracellular
LOCMI13033	LOCMI13033	PREDICTED: ATP synthase subunit epsilon, mitochondrial-like isoform 1	LOCMI13033	GO:0005622	intracellular
LOCMI15760	LOCMI15760	D6WQQ4_TRICA Putative uncharacterized protein	LOCMI15760	GO:0005622	intracellular
LOCMI04853	LOCMI04853	signal recognition particle	LOCMI04853	GO:0005622	intracellular
LOCMI14075	LOCMI14075	Q66VG2_GECJA Histone H3	LOCMI14075	GO:0005622	intracellular
LOCMI00502	LOCMI00502	40S ribosomal protein S21, putative	LOCMI00502	GO:0005622	intracellular
LOCMI01704	LOCMI01704	PREDICTED: ubiquitin-40S ribosomal protein S27a-like isoform 2	LOCMI01704	GO:0005622	intracellular
LOCMI16006	LOCMI16006	H+ transporting ATP synthase subunit e	LOCMI16006	GO:0005622	intracellular
LOCMI05114	LOCMI05114	ribosomal protein L35	LOCMI05114	GO:0005622	intracellular
LOCMI16008	LOCMI16008	D6WXE2_TRICA Putative uncharacterized protein	LOCMI16008	GO:0005622	intracellular
LOCMI02690	LOCMI02690	Q56FF3_LYSTE Ribosomal protein S15A	LOCMI02690	GO:0005622	intracellular
LOCMI12838	LOCMI12838	Q1HQH5_AEDAE House keepingprotein, putative	LOCMI12838	GO:0005622	intracellular
LOCMI09539	LOCMI09539	ribosomal protein S30	LOCMI09539	GO:0005622	intracellular
LOCMI09660	LOCMI09660	PREDICTED: tubulin beta-1 chain	LOCMI09660	GO:0005622	intracellular
LOCMI13842	LOCMI13842	GL15397	LOCMI13842	GO:0005622	intracellular
LOCMI02068	LOCMI02068	ribosomal protein S13	LOCMI02068	GO:0005622	intracellular
LOCMI08559	LOCMI08559	GA15071	LOCMI08559	GO:0005622	intracellular
LOCMI06123	LOCMI06123	B0W950_CULQU Putative uncharacterized protein	LOCMI06123	GO:0005622	intracellular
LOCMI06122	LOCMI06122	B0W950_CULQU Putative uncharacterized protein	LOCMI06122	GO:0005622	intracellular
LOCMI11744	LOCMI11744	RecName: Full=40S ribosomal protein S13 gb|AAK92182.1|AF400210_1 ribosomal protein S13	LOCMI11744	GO:0005622	intracellular
LOCMI15976	LOCMI15976	cytochrome c oxidase subunit VIIA putative	LOCMI15976	GO:0005622	intracellular
LOCMI15205	LOCMI15205	60S ribosomal protein L38	LOCMI15205	GO:0005622	intracellular
LOCMI09144	LOCMI09144	ribosomal protein L10	LOCMI09144	GO:0005622	intracellular
LOCMI15979	LOCMI15979	GF16047	LOCMI15979	GO:0005622	intracellular
LOCMI11986	LOCMI11986	A2I472_MACHI Putative GTP-binding nuclear protein Ran	LOCMI11986	GO:0005622	intracellular
LOCMI09269	LOCMI09269	PREDICTED: 40S ribosomal protein S16	LOCMI09269	GO:0005622	intracellular
LOCMI04863	LOCMI04863	PREDICTED: 60S ribosomal protein L9	LOCMI04863	GO:0005622	intracellular
LOCMI15911	LOCMI15911	ATP synthase lipid-binding protein, mitochondrial	LOCMI15911	GO:0005622	intracellular
LOCMI15915	LOCMI15915	cytochrome c oxidase, subunit VIA, putative	LOCMI15915	GO:0005622	intracellular
LOCMI14590	LOCMI14590	60S ribosomal protein L8	LOCMI14590	GO:0005622	intracellular
LOCMI03668	LOCMI03668	PREDICTED: CDGSH iron-sulfur domain-containing protein 2 homolog	LOCMI03668	GO:0005622	intracellular
LOCMI05618	LOCMI05618	60S ribosomal protein L8	LOCMI05618	GO:0005622	intracellular
LOCMI09429	LOCMI09429	Signal recognition particle receptor subunit beta	LOCMI09429	GO:0005622	intracellular
LOCMI01469	LOCMI01469	putative ribosomal protein S27	LOCMI01469	GO:0005622	intracellular
LOCMI07300	LOCMI07300	PREDICTED: ubiquitin-like protein FUBI-like	LOCMI07300	GO:0005622	intracellular
LOCMI01789	LOCMI01789	60S ribosomal protein L21	LOCMI01789	GO:0005622	intracellular
LOCMI16085	LOCMI16085	D6WQQ4_TRICA Putative uncharacterized protein	LOCMI16085	GO:0005622	intracellular
LOCMI16084	LOCMI16084	AGAP004616-PA	LOCMI16084	GO:0005622	intracellular
LOCMI13660	LOCMI13660	Mitochondrial import inner membrane translocase subunit Tim22	LOCMI13660	GO:0005622	intracellular
LOCMI08755	LOCMI08755	Transcription initiation factor IIA subunit 2	LOCMI08755	GO:0005622	intracellular
LOCMI06322	LOCMI06322	GF14155	LOCMI06322	GO:0005622	intracellular
LOCMI08029	LOCMI08029	60S ribosomal protein L38	LOCMI08029	GO:0005622	intracellular
LOCMI00164	LOCMI00164	ribosomal protein L35Ae	LOCMI00164	GO:0005622	intracellular
LOCMI10621	LOCMI10621	ribosomal protein L31e	LOCMI10621	GO:0005622	intracellular
LOCMI09316	LOCMI09316	ribosomal protein S8	LOCMI09316	GO:0005622	intracellular
LOCMI13569	LOCMI13569	Q4LAY4_9COLE Ribosomal protein S28e	LOCMI13569	GO:0005622	intracellular
