Ontology-ID	Ontology-term	Ontology-name	Ontology-type	elite_term_in	number_changed.G1_2-VS-S1_2.down-GO_z-score_elite	number_measured.G1_2-VS-S1_2.down-GO_z-score_elite	 z_score.G1_2-VS-S1_2.down-GO_z-score_elite	permuteP.G1_2-VS-S1_2.down-GO_z-score_elite	number_changed.G1_2-VS-S1_2.up-GO_z-score_elite	number_measured.G1_2-VS-S1_2.up-GO_z-score_elite	 z_score.G1_2-VS-S1_2.up-GO_z-score_elite	permuteP.G1_2-VS-S1_2.up-GO_z-score_elite	number_changed.G3-VS-S3.down-GO_z-score_elite	number_measured.G3-VS-S3.down-GO_z-score_elite	 z_score.G3-VS-S3.down-GO_z-score_elite	permuteP.G3-VS-S3.down-GO_z-score_elite	number_changed.G3-VS-S3.up-GO_z-score_elite	number_measured.G3-VS-S3.up-GO_z-score_elite	 z_score.G3-VS-S3.up-GO_z-score_elite	permuteP.G3-VS-S3.up-GO_z-score_elite	number_changed.G4-VS-S4.down-GO_z-score_elite	number_measured.G4-VS-S4.down-GO_z-score_elite	 z_score.G4-VS-S4.down-GO_z-score_elite	permuteP.G4-VS-S4.down-GO_z-score_elite	number_changed.G4-VS-S4.up-GO_z-score_elite	number_measured.G4-VS-S4.up-GO_z-score_elite	 z_score.G4-VS-S4.up-GO_z-score_elite	permuteP.G4-VS-S4.up-GO_z-score_elite	number_changed.G5-VS-S5.down-GO_z-score_elite	number_measured.G5-VS-S5.down-GO_z-score_elite	 z_score.G5-VS-S5.down-GO_z-score_elite	permuteP.G5-VS-S5.down-GO_z-score_elite	number_changed.G5-VS-S5.up-GO_z-score_elite	number_measured.G5-VS-S5.up-GO_z-score_elite	 z_score.G5-VS-S5.up-GO_z-score_elite	permuteP.G5-VS-S5.up-GO_z-score_elite	number_changed.Gadult-VS-Sadult.down-GO_z-score_elite	number_measured.Gadult-VS-Sadult.down-GO_z-score_elite	 z_score.Gadult-VS-Sadult.down-GO_z-score_elite	permuteP.Gadult-VS-Sadult.down-GO_z-score_elite	number_changed.Gadult-VS-Sadult.up-GO_z-score_elite	number_measured.Gadult-VS-Sadult.up-GO_z-score_elite	 z_score.Gadult-VS-Sadult.up-GO_z-score_elite	permuteP.Gadult-VS-Sadult.up-GO_z-score_elite	number_changed.Gegg-VS-Segg.down-GO_z-score_elite	number_measured.Gegg-VS-Segg.down-GO_z-score_elite	 z_score.Gegg-VS-Segg.down-GO_z-score_elite	permuteP.Gegg-VS-Segg.down-GO_z-score_elite	number_changed.Gegg-VS-Segg.up-GO_z-score_elite	number_measured.Gegg-VS-Segg.up-GO_z-score_elite	 z_score.Gegg-VS-Segg.up-GO_z-score_elite	permuteP.Gegg-VS-Segg.up-GO_z-score_elite
GO:0044271	cellular nitrogen compound biosynthetic process	GeneOntology	biological_process	G5-VS-S5.down-GO_z-score_elite|Gegg-VS-Segg.up-GO_z-score_elite	13	106	2.17894479896	0.0305	2	106	0.495290185552	0.4335	0	106	-0.898023761653	0.628	0	106	-0.883549088057	0.629	1	106	-0.308950977308	0.7525	1	106	-0.355505155551	0.774	12	106	4.58940394198	0.0005	3	106	-0.66150878901	0.623	13	106	3.25387699596	0.004	4	106	-1.29354676038	0.2425	0	106	-1.00012356278	0.6355	4	106	3.56197919643	0.008
GO:0019239	deaminase activity	GeneOntology	molecular_function	G5-VS-S5.down-GO_z-score_elite	3	8	3.40782553336	0.0145	0	8	-0.329466632471	1.0	0	8	-0.245269620175	1.0	0	8	-0.241316275233	1.0	0	8	-0.321998515658	1.0	0	8	-0.329466632471	1.0	0	8	-0.526793175951	1.0	0	8	-0.58474557935	1.0	1	8	0.918610519356	0.366	0	8	-0.773223722584	0.677	0	8	-0.273155273663	1.0	0	8	-0.249162088501	1.0
GO:0043234	protein complex	GeneOntology	cellular_component	G4-VS-S4.up-GO_z-score_elite	33	397	1.11551664963	0.281	4	397	-0.5863371936	0.645	2	397	-0.573981369787	0.7295	5	397	1.29535833545	0.183	1	397	-1.86486746253	0.053	2	397	-1.48133703307	0.177	37	397	6.77139378258	0.0	15	397	-0.326753438276	0.7995	43	397	5.09939169199	0.0	25	397	-0.52264389278	0.618	2	397	-0.895189846141	0.4185	6	397	1.73291558889	0.0855
GO:0055114	oxidation-reduction process	GeneOntology	biological_process	G1_2-VS-S1_2.down-GO_z-score_elite|G3-VS-S3.down-GO_z-score_elite|G3-VS-S3.up-GO_z-score_elite|G4-VS-S4.down-GO_z-score_elite|G5-VS-S5.down-GO_z-score_elite|G5-VS-S5.up-GO_z-score_elite|Gadult-VS-Sadult.up-GO_z-score_elite|Gegg-VS-Segg.down-GO_z-score_elite|Gegg-VS-Segg.up-GO_z-score_elite	73	515	6.68741775138	0.0	15	515	3.210597963	0.0045	7	515	1.66982878208	0.084	11	515	3.91045753929	0.0015	19	515	5.02546634197	0.0	22	515	5.98129363816	0.0	17	515	-0.0636844283145	1.0	33	515	2.73191268253	0.004	35	515	1.61654688067	0.1345	65	515	5.2244732125	0.0	13	515	3.91980927923	0.0025	9	515	2.62146159371	0.017
GO:0015291	secondary active transmembrane transporter activity	GeneOntology	molecular_function	G5-VS-S5.up-GO_z-score_elite	0	19	-1.19021060573	0.3915	0	19	-0.5080733791	1.0	0	19	-0.378232429118	1.0	0	19	-0.372135941264	1.0	0	19	-0.496556730764	1.0	0	19	-0.5080733791	1.0	0	19	-0.812372369806	0.6725	3	19	2.57464006677	0.0315	0	19	-1.02772747198	0.6175	1	19	-0.289198303109	0.731	0	19	-0.421235139559	1.0	0	19	-0.384235038611	1.0
GO:0051082	unfolded protein binding	GeneOntology	molecular_function	G4-VS-S4.up-GO_z-score_elite|Gadult-VS-Sadult.down-GO_z-score_elite	6	61	0.898853774504	0.4115	0	61	-0.912639502482	0.652	0	61	-0.67940945173	1.0	0	61	-0.668458483089	1.0	0	61	-0.891952435142	0.622	0	61	-0.912639502482	0.6195	7	61	3.5395314285	0.0045	2	61	-0.323095519184	0.914	8	61	2.76053340106	0.0205	2	61	-1.13120041022	0.3235	0	61	-0.756654144872	0.6825	0	61	-0.690191789019	1.0
GO:0005737	cytoplasm	GeneOntology	cellular_component	G3-VS-S3.down-GO_z-score_elite|G4-VS-S4.up-GO_z-score_elite|G5-VS-S5.down-GO_z-score_elite|Gadult-VS-Sadult.down-GO_z-score_elite|Gegg-VS-Segg.up-GO_z-score_elite	60	634	2.61821205177	0.0115	14	634	1.98400748531	0.0605	3	634	-0.829356906901	0.4835	17	634	6.05830330877	0.0	4	634	-1.5088779098	0.1265	4	634	-1.61043712886	0.1535	125	634	23.8116323863	0.0	14	634	-2.49317368635	0.0155	74	634	7.52746631013	0.0	39	634	-0.820535595771	0.4065	9	634	1.35835992703	0.181	10	634	2.42047386937	0.024
GO:0006414	translational elongation	GeneOntology	biological_process	G4-VS-S4.up-GO_z-score_elite	0	17	-1.12569298148	0.3965	0	17	-0.48053229754	1.0	0	17	-0.357729622619	1.0	0	17	-0.351963606457	1.0	0	17	-0.46963993098	1.0	0	17	-0.48053229754	1.0	4	17	4.62838307011	0.003	0	17	-0.852860681564	0.644	2	17	1.20381824293	0.222	1	17	-0.173023257297	0.6905	0	17	-0.398401289545	1.0	0	17	-0.363406849275	1.0
GO:0046483	heterocycle metabolic process	GeneOntology	biological_process	G4-VS-S4.up-GO_z-score_elite	13	110	2.03476868713	0.055	2	110	0.441621953019	0.4515	0	110	-0.915030110687	0.626	0	110	-0.900281322572	0.6295	1	110	-0.347037443373	0.7675	1	110	-0.393761445796	0.7875	13	110	4.96814505882	0.0	3	110	-0.728853610608	0.4975	13	110	3.10452270802	0.0055	4	110	-1.37501173821	0.1925	0	110	-1.01906342953	0.447	4	110	3.46365296162	0.008
GO:0005622	intracellular	GeneOntology	cellular_component	G3-VS-S3.down-GO_z-score_elite|G4-VS-S4.up-GO_z-score_elite|Gadult-VS-Sadult.down-GO_z-score_elite	115	1994	-2.32900226225	0.024	22	1994	-1.04185019487	0.3495	9	1994	-1.7480203717	0.1185	23	1994	2.6029217402	0.0185	7	1994	-4.21701163984	0.0	15	1994	-2.60296237051	0.013	163	1994	13.6976130456	0.0	51	1994	-3.9643063115	0.001	154	1994	5.64889130843	0.0	133	1994	-0.55928544839	0.5805	14	1994	-1.18142732075	0.28	17	1994	0.48610702817	0.6545
GO:0006163	purine nucleotide metabolic process	GeneOntology	biological_process	Gegg-VS-Segg.up-GO_z-score_elite	11	92	1.9114003157	0.06	2	92	0.702068439836	0.3615	0	92	-0.835919942634	0.646	0	92	-0.822446280979	0.6445	1	92	-0.164348651847	0.703	1	92	-0.210404510893	0.7305	10	92	4.03020128866	0.0015	3	92	-0.406195202896	0.7825	12	92	3.36565360943	0.0045	4	92	-0.986300966204	0.4125	0	92	-0.930958919934	0.6405	3	92	2.74977260122	0.0325
GO:0016491	oxidoreductase activity	GeneOntology	molecular_function	G1_2-VS-S1_2.down-GO_z-score_elite|G3-VS-S3.down-GO_z-score_elite|G3-VS-S3.up-GO_z-score_elite|G4-VS-S4.down-GO_z-score_elite|G4-VS-S4.up-GO_z-score_elite|G5-VS-S5.down-GO_z-score_elite|G5-VS-S5.up-GO_z-score_elite|Gadult-VS-Sadult.up-GO_z-score_elite|Gegg-VS-Segg.down-GO_z-score_elite|Gegg-VS-Segg.up-GO_z-score_elite	87	658	6.625560437	0.0	18	658	3.25053208052	0.003	8	658	1.45944311804	0.1345	19	658	6.83178239331	0.0	23	658	5.27140468268	0.0	31	658	7.84436086974	0.0	38	658	3.60014810873	0.0035	43	658	3.28762505027	0.0	49	658	2.62284021977	0.0175	80	658	5.47269420928	0.0	13	658	2.93910706815	0.0125	11	658	2.75837540102	0.0105
GO:0005215	transporter activity	GeneOntology	molecular_function	G1_2-VS-S1_2.down-GO_z-score_elite|Gadult-VS-Sadult.up-GO_z-score_elite|Gegg-VS-Segg.down-GO_z-score_elite	43	631	-0.113280855717	0.9315	16	631	2.72324932199	0.018	5	631	0.141602359031	0.9915	5	631	0.216902078083	0.9925	5	631	-1.12968014773	0.2845	10	631	0.561876713629	0.587	28	631	1.57817802268	0.1745	32	631	1.28549146189	0.212	23	631	-1.88478740339	0.0745	58	631	2.30378811726	0.0245	12	631	2.67132919853	0.015	9	631	1.96308469106	0.0565
GO:0044283	small molecule biosynthetic process	GeneOntology	biological_process	Gegg-VS-Segg.up-GO_z-score_elite	11	92	1.9114003157	0.06	2	92	0.702068439836	0.3615	0	92	-0.835919942634	0.646	0	92	-0.822446280979	0.6445	1	92	-0.164348651847	0.703	1	92	-0.210404510893	0.7305	10	92	4.03020128866	0.0015	3	92	-0.406195202896	0.7825	12	92	3.36565360943	0.0045	4	92	-0.986300966204	0.4125	0	92	-0.930958919934	0.6405	3	92	2.74977260122	0.0325
GO:0009072	aromatic amino acid family metabolic process	GeneOntology	biological_process	G5-VS-S5.up-GO_z-score_elite|Gadult-VS-Sadult.up-GO_z-score_elite	0	9	-0.818673633514	0.6435	0	9	-0.349472838973	1.0	0	9	-0.260163130431	1.0	0	9	-0.255969726475	1.0	1	9	2.62699283684	0.115	2	9	5.45651839729	0.008	0	9	-0.558781644656	1.0	3	9	4.42781831987	0.0055	0	9	-0.706911348043	1.0	5	9	5.73750741887	0.0	0	9	-0.28974208481	1.0	0	9	-0.264291961161	1.0
GO:0046906	tetrapyrrole binding	GeneOntology	molecular_function	G3-VS-S3.up-GO_z-score_elite|G4-VS-S4.down-GO_z-score_elite|G5-VS-S5.down-GO_z-score_elite|G5-VS-S5.up-GO_z-score_elite|Gadult-VS-Sadult.up-GO_z-score_elite	24	167	3.82828748182	0.0	4	167	1.20159337656	0.214	1	167	-0.222909774789	0.7145	1	167	-0.190012845714	0.731	9	167	4.77589485963	0.0	10	167	5.28351583961	0.0	3	167	-1.1268378194	0.28	17	167	4.00660752336	0.0005	6	167	-0.972600754048	0.365	33	167	6.57633593518	0.0	2	167	0.374328206869	0.799	2	167	0.639593502997	0.378
GO:0015035	protein disulfide oxidoreductase activity	GeneOntology	molecular_function	Gadult-VS-Sadult.down-GO_z-score_elite	7	20	4.95119436383	0.0	0	20	-0.521303212339	1.0	0	20	-0.388081305616	1.0	2	20	4.90615202717	0.0085	0	20	-0.509486679492	1.0	0	20	-0.521303212339	1.0	1	20	0.410577780727	0.538	1	20	0.204297555994	0.5655	5	20	3.96145751554	0.0035	1	20	-0.343064566026	0.7635	0	20	-0.432203772989	1.0	0	20	-0.394240218364	1.0
GO:0004252	serine-type endopeptidase activity	GeneOntology	molecular_function	G5-VS-S5.down-GO_z-score_elite|Gegg-VS-Segg.down-GO_z-score_elite	48	146	12.4591644277	0.0	7	146	3.66765313652	0.005	2	146	0.88417769175	0.3005	0	146	-1.03943636448	0.4205	3	146	0.842311420287	0.3065	5	146	2.21428601342	0.0485	0	146	-2.26908849439	0.0375	10	146	1.69343338772	0.07	16	146	3.11505335559	0.005	13	146	0.93742993778	0.4155	8	146	5.80602401939	0.0	3	146	1.79294058134	0.1035
GO:0006950	response to stress	GeneOntology	biological_process	G3-VS-S3.up-GO_z-score_elite|G5-VS-S5.up-GO_z-score_elite|Gadult-VS-Sadult.up-GO_z-score_elite	9	147	-0.386496381463	0.7355	3	147	0.748684443267	0.342	2	147	0.874006386255	0.3165	7	147	5.83572177566	0.0	5	147	2.31123322839	0.04	4	147	1.47293569447	0.14	3	147	-0.889808328182	0.5105	11	147	2.09037605261	0.045	11	147	1.22077189854	0.264	22	147	3.85642461162	0.0005	2	147	0.559135635395	0.398	1	147	-0.124772415352	0.6955
GO:0018130	heterocycle biosynthetic process	GeneOntology	biological_process	G5-VS-S5.down-GO_z-score_elite|Gegg-VS-Segg.up-GO_z-score_elite	13	106	2.17894479896	0.0305	2	106	0.495290185552	0.4335	0	106	-0.898023761653	0.628	0	106	-0.883549088057	0.629	1	106	-0.308950977308	0.7525	1	106	-0.355505155551	0.774	12	106	4.58940394198	0.0005	3	106	-0.66150878901	0.623	13	106	3.25387699596	0.004	4	106	-1.29354676038	0.2425	0	106	-1.00012356278	0.6355	4	106	3.56197919643	0.008
GO:0006413	translational initiation	GeneOntology	biological_process	Gadult-VS-Sadult.down-GO_z-score_elite	3	24	1.07732447181	0.227	0	24	-0.571194620379	1.0	0	24	-0.42522268958	1.0	0	24	-0.418368795618	1.0	0	24	-0.55824718435	1.0	0	24	-0.571194620379	1.0	3	24	2.4946284473	0.056	0	24	-1.01377042862	0.6175	4	24	2.50859006362	0.0445	1	24	-0.536670350432	0.547	0	24	-0.473567904811	1.0	0	24	-0.431971042066	1.0
GO:0006826	iron ion transport	GeneOntology	biological_process	Gegg-VS-Segg.down-GO_z-score_elite	1	9	0.494936025731	0.482	1	9	2.55352277916	0.127	0	9	-0.260163130431	1.0	0	9	-0.255969726475	1.0	0	9	-0.341551235608	1.0	1	9	2.55352277916	0.1205	0	9	-0.558781644656	1.0	1	9	1.06243737824	0.31	3	9	3.77656242693	0.0125	1	9	0.491360526578	0.464	3	9	10.1706901052	0.0	0	9	-0.264291961161	1.0
GO:0044431	Golgi apparatus part	GeneOntology	cellular_component	Gegg-VS-Segg.up-GO_z-score_elite	1	8	0.621403726756	0.4205	0	8	-0.329466632471	1.0	0	8	-0.245269620175	1.0	0	8	-0.241316275233	1.0	0	8	-0.321998515658	1.0	0	8	-0.329466632471	1.0	1	8	1.43890856894	0.2345	1	8	1.19991144896	0.289	1	8	0.918610519356	0.3515	0	8	-0.773223722584	0.6765	0	8	-0.273155273663	1.0	3	8	11.8946147788	0.0
GO:0071840	cellular component organization or biogenesis	GeneOntology	biological_process	G4-VS-S4.up-GO_z-score_elite	14	117	2.16273056465	0.0475	2	117	0.352512944004	0.806	2	117	1.21998060143	0.2205	3	117	2.36962652278	0.0575	0	117	-1.23943701847	0.4075	1	117	-0.457835178703	0.536	11	117	3.66322053254	0.004	5	117	0.0977449774827	0.992	14	117	3.27518197042	0.002	32	117	8.73906766925	0.0	1	117	-0.0781140962498	0.684	0	117	-0.959074967963	0.6525
GO:0051540	metal cluster binding	GeneOntology	molecular_function	G1_2-VS-S1_2.down-GO_z-score_elite|Gadult-VS-Sadult.down-GO_z-score_elite	0	35	-1.61693893977	0.1685	4	35	5.20720782221	0.0	0	35	-0.513840777406	1.0	1	35	1.49489032378	0.2505	0	35	-0.674588102234	1.0	0	35	-0.690233835065	1.0	3	35	1.72024235069	0.135	1	35	-0.37044688871	0.759	5	35	2.39887720027	0.034	2	35	-0.287711813893	0.9125	0	35	-0.572261326419	1.0	0	35	-0.5219955132	1.0
GO:0050660	flavin adenine dinucleotide binding	GeneOntology	molecular_function	G4-VS-S4.down-GO_z-score_elite	4	65	-0.245737272313	0.803	2	65	1.22532602284	0.221	1	65	0.745695795947	0.357	1	65	0.780360602818	0.392	2	65	1.29563005504	0.2005	4	65	3.39296380757	0.0165	0	65	-1.50668795215	0.1785	5	65	1.46868198171	0.122	2	65	-0.790180330811	0.556	6	65	0.726426914412	0.6095	0	65	-0.781254918787	0.6495	0	65	-0.712631700668	0.6785
GO:0005694	chromosome	GeneOntology	cellular_component	Gadult-VS-Sadult.up-GO_z-score_elite	7	108	-0.182597749282	1.0	2	108	0.468190205066	0.429	2	108	1.34465780695	0.187	2	108	1.39560499415	0.2005	0	108	-1.19016987095	0.4055	0	108	-1.21777350013	0.39	7	108	1.82022750746	0.0905	3	108	-0.695458377147	0.606	7	108	0.574524399375	0.6515	27	108	7.4249236884	0.0	1	108	0.00287645480924	0.6575	0	108	-0.920952104737	0.63
GO:0008152	metabolic process	GeneOntology	biological_process	Gadult-VS-Sadult.down-GO_z-score_elite	389	3442	13.1387801949	0.0	76	3442	5.7743611739	0.0	34	3442	2.14419791037	0.043	35	3442	2.65340890201	0.029	54	3442	1.97031651216	0.062	68	3442	4.23247519284	0.0	178	3442	7.71479899885	0.0	146	3442	0.561706998286	0.5945	262	3442	8.04687181514	0.0	276	3442	3.20755164456	0.0025	42	3442	2.3659328017	0.0235	28	3442	0.384351605664	0.7085
GO:0009141	nucleoside triphosphate metabolic process	GeneOntology	biological_process	G4-VS-S4.up-GO_z-score_elite	8	74	1.32250056189	0.2335	2	74	1.02666681292	0.274	0	74	-0.748892308065	0.6705	0	74	-0.736821389476	0.6695	1	74	0.0560968982439	0.628	1	74	0.0103460681874	0.6405	10	74	4.88012714359	0.0	3	74	-0.0181304293197	0.9515	10	74	3.19724219613	0.0085	3	74	-0.983434740941	0.3745	0	74	-0.834036776377	0.652	2	74	1.91159148557	0.1135
GO:0006333	chromatin assembly or disassembly	GeneOntology	biological_process	Gadult-VS-Sadult.up-GO_z-score_elite	6	73	0.437513509404	0.811	1	73	0.0241022985556	0.625	2	73	1.98872518676	0.0975	2	73	2.04481617226	0.101	0	73	-0.976448003387	0.635	0	73	-0.999094777816	0.61	6	73	2.32202540406	0.0505	3	73	0.00603756322376	0.955	4	73	0.0860461554021	0.9795	27	73	10.1364516941	0.0	1	73	0.400637239462	0.512	0	73	-0.755574364495	0.6745
