GeneID	Ensembl	Pathway
LOCMI16055	En	Glycolysis / Gluconeogenesis:map00010
LOCMI16061	En	Glycolysis / Gluconeogenesis:map00010
LOCMI16063	En	Glycolysis / Gluconeogenesis:map00010
LOCMI16068	En	Glycolysis / Gluconeogenesis:map00010
LOCMI16069	En	Glycolysis / Gluconeogenesis:map00010
LOCMI16081	En	Glycolysis / Gluconeogenesis:map00010
LOCMI16091	En	Glycolysis / Gluconeogenesis:map00010
LOCMI16875	En	Glycolysis / Gluconeogenesis:map00010
LOCMI05605	En	Citrate cycle (TCA cycle):map00020
LOCMI07462	En	Citrate cycle (TCA cycle):map00020
LOCMI09995	En	Citrate cycle (TCA cycle):map00020
LOCMI11413	En	Citrate cycle (TCA cycle):map00020
LOCMI15766	En	Citrate cycle (TCA cycle):map00020
LOCMI15768	En	Citrate cycle (TCA cycle):map00020
LOCMI15796	En	Citrate cycle (TCA cycle):map00020
LOCMI15803	En	Citrate cycle (TCA cycle):map00020
LOCMI15819	En	Citrate cycle (TCA cycle):map00020
LOCMI15850	En	Citrate cycle (TCA cycle):map00020
LOCMI15871	En	Citrate cycle (TCA cycle):map00020
LOCMI15876	En	Citrate cycle (TCA cycle):map00020
LOCMI15878	En	Citrate cycle (TCA cycle):map00020
LOCMI15879	En	Citrate cycle (TCA cycle):map00020
LOCMI15908	En	Citrate cycle (TCA cycle):map00020
LOCMI15918	En	Citrate cycle (TCA cycle):map00020
LOCMI15927	En	Citrate cycle (TCA cycle):map00020
LOCMI15934	En	Citrate cycle (TCA cycle):map00020
LOCMI15947	En	Citrate cycle (TCA cycle):map00020
LOCMI15957	En	Citrate cycle (TCA cycle):map00020
LOCMI15962	En	Citrate cycle (TCA cycle):map00020
LOCMI15964	En	Citrate cycle (TCA cycle):map00020
LOCMI15965	En	Citrate cycle (TCA cycle):map00020
LOCMI15967	En	Citrate cycle (TCA cycle):map00020
LOCMI15982	En	Citrate cycle (TCA cycle):map00020
LOCMI15989	En	Citrate cycle (TCA cycle):map00020
LOCMI15995	En	Citrate cycle (TCA cycle):map00020
LOCMI16000	En	Citrate cycle (TCA cycle):map00020
LOCMI16012	En	Citrate cycle (TCA cycle):map00020
LOCMI16039	En	Citrate cycle (TCA cycle):map00020
LOCMI16075	En	Citrate cycle (TCA cycle):map00020
LOCMI16077	En	Citrate cycle (TCA cycle):map00020
LOCMI16081	En	Citrate cycle (TCA cycle):map00020
LOCMI03491	En	Pentose phosphate pathway:map00030
LOCMI04080	En	Pentose phosphate pathway:map00030
LOCMI07298	En	Pentose phosphate pathway:map00030
LOCMI07493	En	Pentose phosphate pathway:map00030
LOCMI08995	En	Pentose phosphate pathway:map00030
LOCMI15769	En	Pentose phosphate pathway:map00030
LOCMI15789	En	Pentose phosphate pathway:map00030
LOCMI15802	En	Pentose phosphate pathway:map00030
LOCMI15817	En	Pentose phosphate pathway:map00030
LOCMI15822	En	Pentose phosphate pathway:map00030
LOCMI15834	En	Pentose phosphate pathway:map00030
LOCMI15889	En	Pentose phosphate pathway:map00030
LOCMI15903	En	Pentose phosphate pathway:map00030
LOCMI15975	En	Pentose phosphate pathway:map00030
LOCMI15978	En	Pentose phosphate pathway:map00030
LOCMI16016	En	Pentose phosphate pathway:map00030
LOCMI16031	En	Pentose phosphate pathway:map00030
LOCMI16033	En	Pentose phosphate pathway:map00030
LOCMI16043	En	Pentose phosphate pathway:map00030
LOCMI16063	En	Pentose phosphate pathway:map00030
LOCMI00063	En	Pentose and glucuronate interconversions:map00040
LOCMI02534	En	Pentose and glucuronate interconversions:map00040
LOCMI03958	En	Pentose and glucuronate interconversions:map00040
LOCMI04896	En	Pentose and glucuronate interconversions:map00040
LOCMI07111	En	Pentose and glucuronate interconversions:map00040
LOCMI08291	En	Pentose and glucuronate interconversions:map00040
LOCMI08865	En	Pentose and glucuronate interconversions:map00040
LOCMI09478	En	Pentose and glucuronate interconversions:map00040
LOCMI10694	En	Pentose and glucuronate interconversions:map00040
LOCMI13201	En	Pentose and glucuronate interconversions:map00040
LOCMI13396	En	Pentose and glucuronate interconversions:map00040
LOCMI13812	En	Pentose and glucuronate interconversions:map00040
LOCMI15489	En	Pentose and glucuronate interconversions:map00040
LOCMI15814	En	Pentose and glucuronate interconversions:map00040
LOCMI15839	En	Pentose and glucuronate interconversions:map00040
LOCMI15851	En	Pentose and glucuronate interconversions:map00040
LOCMI15867	En	Pentose and glucuronate interconversions:map00040
LOCMI15882	En	Pentose and glucuronate interconversions:map00040
LOCMI15891	En	Pentose and glucuronate interconversions:map00040
LOCMI15896	En	Pentose and glucuronate interconversions:map00040
LOCMI15903	En	Pentose and glucuronate interconversions:map00040
LOCMI15907	En	Pentose and glucuronate interconversions:map00040
LOCMI15985	En	Pentose and glucuronate interconversions:map00040
LOCMI16979	En	Pentose and glucuronate interconversions:map00040
LOCMI16983	En	Pentose and glucuronate interconversions:map00040
LOCMI16984	En	Pentose and glucuronate interconversions:map00040
LOCMI16990	En	Pentose and glucuronate interconversions:map00040
LOCMI16992	En	Pentose and glucuronate interconversions:map00040
LOCMI16994	En	Pentose and glucuronate interconversions:map00040
LOCMI16996	En	Pentose and glucuronate interconversions:map00040
LOCMI16997	En	Pentose and glucuronate interconversions:map00040
LOCMI16998	En	Pentose and glucuronate interconversions:map00040
LOCMI16999	En	Pentose and glucuronate interconversions:map00040
LOCMI17001	En	Pentose and glucuronate interconversions:map00040
LOCMI17012	En	Pentose and glucuronate interconversions:map00040
LOCMI17015	En	Pentose and glucuronate interconversions:map00040
LOCMI17023	En	Pentose and glucuronate interconversions:map00040
LOCMI17030	En	Pentose and glucuronate interconversions:map00040
LOCMI17032	En	Pentose and glucuronate interconversions:map00040
LOCMI17034	En	Pentose and glucuronate interconversions:map00040
LOCMI17035	En	Pentose and glucuronate interconversions:map00040
LOCMI17036	En	Pentose and glucuronate interconversions:map00040
LOCMI17039	En	Pentose and glucuronate interconversions:map00040
LOCMI17043	En	Pentose and glucuronate interconversions:map00040
LOCMI17044	En	Pentose and glucuronate interconversions:map00040
LOCMI17045	En	Pentose and glucuronate interconversions:map00040
LOCMI17046	En	Pentose and glucuronate interconversions:map00040
LOCMI01471	En	Fructose and mannose metabolism:map00051
LOCMI01954	En	Fructose and mannose metabolism:map00051
LOCMI02041	En	Fructose and mannose metabolism:map00051
LOCMI03567	En	Fructose and mannose metabolism:map00051
LOCMI04167	En	Fructose and mannose metabolism:map00051
LOCMI04896	En	Fructose and mannose metabolism:map00051
LOCMI05849	En	Fructose and mannose metabolism:map00051
LOCMI05915	En	Fructose and mannose metabolism:map00051
LOCMI06643	En	Fructose and mannose metabolism:map00051
LOCMI08614	En	Fructose and mannose metabolism:map00051
LOCMI12268	En	Fructose and mannose metabolism:map00051
LOCMI12464	En	Fructose and mannose metabolism:map00051
LOCMI12827	En	Fructose and mannose metabolism:map00051
LOCMI14321	En	Fructose and mannose metabolism:map00051
LOCMI14322	En	Fructose and mannose metabolism:map00051
LOCMI14323	En	Fructose and mannose metabolism:map00051
LOCMI14325	En	Fructose and mannose metabolism:map00051
LOCMI15802	En	Fructose and mannose metabolism:map00051
LOCMI15814	En	Fructose and mannose metabolism:map00051
LOCMI15833	En	Fructose and mannose metabolism:map00051
LOCMI15867	En	Fructose and mannose metabolism:map00051
LOCMI15882	En	Fructose and mannose metabolism:map00051
LOCMI15978	En	Fructose and mannose metabolism:map00051
LOCMI16055	En	Fructose and mannose metabolism:map00051
LOCMI16063	En	Fructose and mannose metabolism:map00051
LOCMI00063	En	Galactose metabolism:map00052
LOCMI03726	En	Galactose metabolism:map00052
LOCMI04593	En	Galactose metabolism:map00052
LOCMI05976	En	Galactose metabolism:map00052
LOCMI06197	En	Galactose metabolism:map00052
LOCMI07493	En	Galactose metabolism:map00052
LOCMI09105	En	Galactose metabolism:map00052
LOCMI09697	En	Galactose metabolism:map00052
LOCMI11868	En	Galactose metabolism:map00052
LOCMI13201	En	Galactose metabolism:map00052
LOCMI13623	En	Galactose metabolism:map00052
LOCMI13816	En	Galactose metabolism:map00052
LOCMI14855	En	Galactose metabolism:map00052
LOCMI15489	En	Galactose metabolism:map00052
LOCMI15802	En	Galactose metabolism:map00052
LOCMI15814	En	Galactose metabolism:map00052
LOCMI15833	En	Galactose metabolism:map00052
LOCMI15834	En	Galactose metabolism:map00052
LOCMI15855	En	Galactose metabolism:map00052
LOCMI15867	En	Galactose metabolism:map00052
LOCMI15882	En	Galactose metabolism:map00052
LOCMI16027	En	Galactose metabolism:map00052
LOCMI16036	En	Galactose metabolism:map00052
LOCMI16055	En	Galactose metabolism:map00052
LOCMI02005	En	Ascorbate and aldarate metabolism:map00053
LOCMI03491	En	Ascorbate and aldarate metabolism:map00053
LOCMI07298	En	Ascorbate and aldarate metabolism:map00053
LOCMI08865	En	Ascorbate and aldarate metabolism:map00053
LOCMI13444	En	Ascorbate and aldarate metabolism:map00053
LOCMI13445	En	Ascorbate and aldarate metabolism:map00053
LOCMI13447	En	Ascorbate and aldarate metabolism:map00053
LOCMI13448	En	Ascorbate and aldarate metabolism:map00053
LOCMI15839	En	Ascorbate and aldarate metabolism:map00053
LOCMI15851	En	Ascorbate and aldarate metabolism:map00053
LOCMI15874	En	Ascorbate and aldarate metabolism:map00053
LOCMI15891	En	Ascorbate and aldarate metabolism:map00053
LOCMI15896	En	Ascorbate and aldarate metabolism:map00053
LOCMI15907	En	Ascorbate and aldarate metabolism:map00053
LOCMI15912	En	Ascorbate and aldarate metabolism:map00053
LOCMI15985	En	Ascorbate and aldarate metabolism:map00053
LOCMI16979	En	Ascorbate and aldarate metabolism:map00053
LOCMI16983	En	Ascorbate and aldarate metabolism:map00053
LOCMI16984	En	Ascorbate and aldarate metabolism:map00053
LOCMI16990	En	Ascorbate and aldarate metabolism:map00053
LOCMI16992	En	Ascorbate and aldarate metabolism:map00053
LOCMI16994	En	Ascorbate and aldarate metabolism:map00053
LOCMI16996	En	Ascorbate and aldarate metabolism:map00053
LOCMI16997	En	Ascorbate and aldarate metabolism:map00053
LOCMI16998	En	Ascorbate and aldarate metabolism:map00053
LOCMI16999	En	Ascorbate and aldarate metabolism:map00053
LOCMI17001	En	Ascorbate and aldarate metabolism:map00053
LOCMI17012	En	Ascorbate and aldarate metabolism:map00053
LOCMI17015	En	Ascorbate and aldarate metabolism:map00053
LOCMI17023	En	Ascorbate and aldarate metabolism:map00053
LOCMI17030	En	Ascorbate and aldarate metabolism:map00053
LOCMI17032	En	Ascorbate and aldarate metabolism:map00053
LOCMI17034	En	Ascorbate and aldarate metabolism:map00053
LOCMI17035	En	Ascorbate and aldarate metabolism:map00053
LOCMI17036	En	Ascorbate and aldarate metabolism:map00053
LOCMI17039	En	Ascorbate and aldarate metabolism:map00053
LOCMI17043	En	Ascorbate and aldarate metabolism:map00053
LOCMI17044	En	Ascorbate and aldarate metabolism:map00053
LOCMI17045	En	Ascorbate and aldarate metabolism:map00053
LOCMI17046	En	Ascorbate and aldarate metabolism:map00053
LOCMI15764	En	Fatty acid biosynthesis:map00061
LOCMI15937	En	Fatty acid biosynthesis:map00061
LOCMI15987	En	Fatty acid biosynthesis:map00061
LOCMI16005	En	Fatty acid biosynthesis:map00061
LOCMI16095	En	Fatty acid biosynthesis:map00061
LOCMI16101	En	Fatty acid biosynthesis:map00061
LOCMI15806	En	Fatty acid elongation:map00062
LOCMI15900	En	Fatty acid elongation:map00062
LOCMI15940	En	Fatty acid elongation:map00062
LOCMI15944	En	Fatty acid elongation:map00062
LOCMI15945	En	Fatty acid elongation:map00062
LOCMI15972	En	Fatty acid elongation:map00062
LOCMI15991	En	Fatty acid elongation:map00062
LOCMI16015	En	Fatty acid elongation:map00062
LOCMI16041	En	Fatty acid elongation:map00062
LOCMI16045	En	Fatty acid elongation:map00062
LOCMI16046	En	Fatty acid elongation:map00062
LOCMI16047	En	Fatty acid elongation:map00062
LOCMI16050	En	Fatty acid elongation:map00062
LOCMI16955	En	Fatty acid elongation:map00062
LOCMI15806	En	Fatty acid degradation:map00071
LOCMI15809	En	Fatty acid degradation:map00071
LOCMI15821	En	Fatty acid degradation:map00071
LOCMI15827	En	Fatty acid degradation:map00071
LOCMI15828	En	Fatty acid degradation:map00071
LOCMI15839	En	Fatty acid degradation:map00071
LOCMI15841	En	Fatty acid degradation:map00071
LOCMI15851	En	Fatty acid degradation:map00071
LOCMI15853	En	Fatty acid degradation:map00071
LOCMI15857	En	Fatty acid degradation:map00071
LOCMI15874	En	Fatty acid degradation:map00071
LOCMI15891	En	Fatty acid degradation:map00071
LOCMI15896	En	Fatty acid degradation:map00071
LOCMI15897	En	Fatty acid degradation:map00071
LOCMI15898	En	Fatty acid degradation:map00071
LOCMI15899	En	Fatty acid degradation:map00071
LOCMI15900	En	Fatty acid degradation:map00071
LOCMI15907	En	Fatty acid degradation:map00071
LOCMI15912	En	Fatty acid degradation:map00071
LOCMI15923	En	Fatty acid degradation:map00071
LOCMI15926	En	Fatty acid degradation:map00071
LOCMI15935	En	Fatty acid degradation:map00071
LOCMI15939	En	Fatty acid degradation:map00071
LOCMI15940	En	Fatty acid degradation:map00071
LOCMI15944	En	Fatty acid degradation:map00071
LOCMI15961	En	Fatty acid degradation:map00071
LOCMI15985	En	Fatty acid degradation:map00071
LOCMI15997	En	Fatty acid degradation:map00071
LOCMI16007	En	Fatty acid degradation:map00071
LOCMI16020	En	Fatty acid degradation:map00071
LOCMI16025	En	Fatty acid degradation:map00071
LOCMI16046	En	Fatty acid degradation:map00071
LOCMI16047	En	Fatty acid degradation:map00071
LOCMI16298	En	Fatty acid degradation:map00071
LOCMI16324	En	Fatty acid degradation:map00071
LOCMI16359	En	Fatty acid degradation:map00071
LOCMI16371	En	Fatty acid degradation:map00071
LOCMI16955	En	Fatty acid degradation:map00071
LOCMI15765	En	Synthesis and degradation of ketone bodies:map00072
LOCMI15805	En	Synthesis and degradation of ketone bodies:map00072
LOCMI15906	En	Synthesis and degradation of ketone bodies:map00072
LOCMI16092	En	Synthesis and degradation of ketone bodies:map00072
LOCMI16298	En	Synthesis and degradation of ketone bodies:map00072
LOCMI16359	En	Synthesis and degradation of ketone bodies:map00072
LOCMI16371	En	Synthesis and degradation of ketone bodies:map00072
LOCMI00700	En	Steroid biosynthesis:map00100
LOCMI11812	En	Steroid biosynthesis:map00100
LOCMI15888	En	Steroid biosynthesis:map00100
LOCMI15998	En	Steroid biosynthesis:map00100
LOCMI16140	En	Steroid biosynthesis:map00100
LOCMI16149	En	Steroid biosynthesis:map00100
LOCMI16161	En	Steroid biosynthesis:map00100
LOCMI16200	En	Steroid biosynthesis:map00100
LOCMI01211	En	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI03395	En	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI07176	En	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI07254	En	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI08078	En	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI09590	En	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI09826	En	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI11619	En	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI12565	En	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI13919	En	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI13973	En	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI00304	En	Oxidative phosphorylation:map00190
LOCMI05605	En	Oxidative phosphorylation:map00190
LOCMI06328	En	Oxidative phosphorylation:map00190
LOCMI07462	En	Oxidative phosphorylation:map00190
LOCMI08818	En	Oxidative phosphorylation:map00190
LOCMI11065	En	Oxidative phosphorylation:map00190
LOCMI11413	En	Oxidative phosphorylation:map00190
LOCMI11556	En	Oxidative phosphorylation:map00190
LOCMI13033	En	Oxidative phosphorylation:map00190
LOCMI13780	En	Oxidative phosphorylation:map00190
LOCMI13781	En	Oxidative phosphorylation:map00190
LOCMI15760	En	Oxidative phosphorylation:map00190
LOCMI15775	En	Oxidative phosphorylation:map00190
LOCMI15777	En	Oxidative phosphorylation:map00190
LOCMI15778	En	Oxidative phosphorylation:map00190
LOCMI15786	En	Oxidative phosphorylation:map00190
LOCMI15787	En	Oxidative phosphorylation:map00190
LOCMI15790	En	Oxidative phosphorylation:map00190
LOCMI15795	En	Oxidative phosphorylation:map00190
LOCMI15796	En	Oxidative phosphorylation:map00190
LOCMI15804	En	Oxidative phosphorylation:map00190
LOCMI15807	En	Oxidative phosphorylation:map00190
LOCMI15810	En	Oxidative phosphorylation:map00190
LOCMI15812	En	Oxidative phosphorylation:map00190
LOCMI15816	En	Oxidative phosphorylation:map00190
LOCMI15818	En	Oxidative phosphorylation:map00190
LOCMI15826	En	Oxidative phosphorylation:map00190
LOCMI15830	En	Oxidative phosphorylation:map00190
LOCMI15835	En	Oxidative phosphorylation:map00190
LOCMI15837	En	Oxidative phosphorylation:map00190
LOCMI15838	En	Oxidative phosphorylation:map00190
LOCMI15847	En	Oxidative phosphorylation:map00190
LOCMI15852	En	Oxidative phosphorylation:map00190
LOCMI15858	En	Oxidative phosphorylation:map00190
LOCMI15861	En	Oxidative phosphorylation:map00190
LOCMI15863	En	Oxidative phosphorylation:map00190
LOCMI15865	En	Oxidative phosphorylation:map00190
LOCMI15869	En	Oxidative phosphorylation:map00190
LOCMI15884	En	Oxidative phosphorylation:map00190
LOCMI15885	En	Oxidative phosphorylation:map00190
LOCMI15890	En	Oxidative phosphorylation:map00190
LOCMI15892	En	Oxidative phosphorylation:map00190
LOCMI15894	En	Oxidative phosphorylation:map00190
LOCMI15895	En	Oxidative phosphorylation:map00190
LOCMI15909	En	Oxidative phosphorylation:map00190
LOCMI15910	En	Oxidative phosphorylation:map00190
LOCMI15911	En	Oxidative phosphorylation:map00190
LOCMI15914	En	Oxidative phosphorylation:map00190
LOCMI15915	En	Oxidative phosphorylation:map00190
LOCMI15917	En	Oxidative phosphorylation:map00190
LOCMI15919	En	Oxidative phosphorylation:map00190
LOCMI15921	En	Oxidative phosphorylation:map00190
LOCMI15925	En	Oxidative phosphorylation:map00190
LOCMI15931	En	Oxidative phosphorylation:map00190
LOCMI15938	En	Oxidative phosphorylation:map00190
LOCMI15952	En	Oxidative phosphorylation:map00190
LOCMI15958	En	Oxidative phosphorylation:map00190
LOCMI15959	En	Oxidative phosphorylation:map00190
LOCMI15966	En	Oxidative phosphorylation:map00190
LOCMI15970	En	Oxidative phosphorylation:map00190
LOCMI15971	En	Oxidative phosphorylation:map00190
LOCMI15973	En	Oxidative phosphorylation:map00190
LOCMI15977	En	Oxidative phosphorylation:map00190
LOCMI15979	En	Oxidative phosphorylation:map00190
LOCMI15980	En	Oxidative phosphorylation:map00190
LOCMI15981	En	Oxidative phosphorylation:map00190
LOCMI15986	En	Oxidative phosphorylation:map00190
LOCMI15990	En	Oxidative phosphorylation:map00190
LOCMI15992	En	Oxidative phosphorylation:map00190
LOCMI15996	En	Oxidative phosphorylation:map00190
LOCMI15999	En	Oxidative phosphorylation:map00190
LOCMI16001	En	Oxidative phosphorylation:map00190
LOCMI16006	En	Oxidative phosphorylation:map00190
LOCMI16008	En	Oxidative phosphorylation:map00190
LOCMI16009	En	Oxidative phosphorylation:map00190
LOCMI16022	En	Oxidative phosphorylation:map00190
LOCMI16023	En	Oxidative phosphorylation:map00190
LOCMI16024	En	Oxidative phosphorylation:map00190
LOCMI16028	En	Oxidative phosphorylation:map00190
LOCMI16030	En	Oxidative phosphorylation:map00190
LOCMI16032	En	Oxidative phosphorylation:map00190
LOCMI16037	En	Oxidative phosphorylation:map00190
LOCMI16039	En	Oxidative phosphorylation:map00190
LOCMI16044	En	Oxidative phosphorylation:map00190
LOCMI16049	En	Oxidative phosphorylation:map00190
LOCMI16051	En	Oxidative phosphorylation:map00190
LOCMI16058	En	Oxidative phosphorylation:map00190
LOCMI16062	En	Oxidative phosphorylation:map00190
LOCMI16065	En	Oxidative phosphorylation:map00190
LOCMI16066	En	Oxidative phosphorylation:map00190
LOCMI16072	En	Oxidative phosphorylation:map00190
LOCMI16074	En	Oxidative phosphorylation:map00190
LOCMI16075	En	Oxidative phosphorylation:map00190
LOCMI16078	En	Oxidative phosphorylation:map00190
LOCMI16082	En	Oxidative phosphorylation:map00190
LOCMI16083	En	Oxidative phosphorylation:map00190
LOCMI16084	En	Oxidative phosphorylation:map00190
LOCMI16086	En	Oxidative phosphorylation:map00190
LOCMI16093	En	Oxidative phosphorylation:map00190
LOCMI16094	En	Oxidative phosphorylation:map00190
LOCMI16102	En	Oxidative phosphorylation:map00190
LOCMI16957	En	Oxidative phosphorylation:map00190
LOCMI00001	En	Purine metabolism:map00230
LOCMI00021	En	Purine metabolism:map00230
LOCMI00179	En	Purine metabolism:map00230
LOCMI00207	En	Purine metabolism:map00230
LOCMI00252	En	Purine metabolism:map00230
LOCMI00422	En	Purine metabolism:map00230
LOCMI00523	En	Purine metabolism:map00230
LOCMI00525	En	Purine metabolism:map00230
LOCMI00601	En	Purine metabolism:map00230
LOCMI00863	En	Purine metabolism:map00230
LOCMI01087	En	Purine metabolism:map00230
LOCMI01328	En	Purine metabolism:map00230
LOCMI01339	En	Purine metabolism:map00230
LOCMI01524	En	Purine metabolism:map00230
LOCMI01920	En	Purine metabolism:map00230
LOCMI01934	En	Purine metabolism:map00230
LOCMI02157	En	Purine metabolism:map00230
LOCMI02740	En	Purine metabolism:map00230
LOCMI02908	En	Purine metabolism:map00230
LOCMI03230	En	Purine metabolism:map00230
LOCMI03421	En	Purine metabolism:map00230
LOCMI03478	En	Purine metabolism:map00230
LOCMI03637	En	Purine metabolism:map00230
LOCMI03761	En	Purine metabolism:map00230
LOCMI03855	En	Purine metabolism:map00230
LOCMI03873	En	Purine metabolism:map00230
LOCMI03973	En	Purine metabolism:map00230
LOCMI04007	En	Purine metabolism:map00230
LOCMI04249	En	Purine metabolism:map00230
LOCMI04257	En	Purine metabolism:map00230
LOCMI04450	En	Purine metabolism:map00230
LOCMI04482	En	Purine metabolism:map00230
LOCMI04598	En	Purine metabolism:map00230
LOCMI04645	En	Purine metabolism:map00230
LOCMI04852	En	Purine metabolism:map00230
LOCMI05195	En	Purine metabolism:map00230
LOCMI05408	En	Purine metabolism:map00230
LOCMI05424	En	Purine metabolism:map00230
LOCMI05478	En	Purine metabolism:map00230
LOCMI05553	En	Purine metabolism:map00230
LOCMI05695	En	Purine metabolism:map00230
LOCMI05728	En	Purine metabolism:map00230
LOCMI05744	En	Purine metabolism:map00230
LOCMI05985	En	Purine metabolism:map00230
LOCMI06149	En	Purine metabolism:map00230
LOCMI06409	En	Purine metabolism:map00230
LOCMI06919	En	Purine metabolism:map00230
LOCMI06930	En	Purine metabolism:map00230
LOCMI07029	En	Purine metabolism:map00230
LOCMI07085	En	Purine metabolism:map00230
LOCMI07493	En	Purine metabolism:map00230
LOCMI07686	En	Purine metabolism:map00230
LOCMI07847	En	Purine metabolism:map00230
LOCMI07858	En	Purine metabolism:map00230
LOCMI07879	En	Purine metabolism:map00230
LOCMI08111	En	Purine metabolism:map00230
LOCMI08182	En	Purine metabolism:map00230
LOCMI08183	En	Purine metabolism:map00230
LOCMI08192	En	Purine metabolism:map00230
LOCMI08295	En	Purine metabolism:map00230
LOCMI08300	En	Purine metabolism:map00230
LOCMI08328	En	Purine metabolism:map00230
LOCMI08603	En	Purine metabolism:map00230
LOCMI08630	En	Purine metabolism:map00230
LOCMI08702	En	Purine metabolism:map00230
LOCMI08826	En	Purine metabolism:map00230
LOCMI09089	En	Purine metabolism:map00230
LOCMI09110	En	Purine metabolism:map00230
LOCMI09182	En	Purine metabolism:map00230
LOCMI09384	En	Purine metabolism:map00230
LOCMI09808	En	Purine metabolism:map00230
LOCMI10140	En	Purine metabolism:map00230
LOCMI10439	En	Purine metabolism:map00230
LOCMI10444	En	Purine metabolism:map00230
LOCMI10663	En	Purine metabolism:map00230
LOCMI10894	En	Purine metabolism:map00230
LOCMI10902	En	Purine metabolism:map00230
LOCMI11198	En	Purine metabolism:map00230
LOCMI11370	En	Purine metabolism:map00230
LOCMI11424	En	Purine metabolism:map00230
LOCMI11553	En	Purine metabolism:map00230
LOCMI11849	En	Purine metabolism:map00230
LOCMI11954	En	Purine metabolism:map00230
LOCMI12275	En	Purine metabolism:map00230
LOCMI12441	En	Purine metabolism:map00230
LOCMI12445	En	Purine metabolism:map00230
LOCMI12468	En	Purine metabolism:map00230
LOCMI12768	En	Purine metabolism:map00230
LOCMI12823	En	Purine metabolism:map00230
LOCMI12958	En	Purine metabolism:map00230
LOCMI13140	En	Purine metabolism:map00230
LOCMI13169	En	Purine metabolism:map00230
LOCMI13754	En	Purine metabolism:map00230
LOCMI13810	En	Purine metabolism:map00230
LOCMI13968	En	Purine metabolism:map00230
LOCMI14102	En	Purine metabolism:map00230
LOCMI14190	En	Purine metabolism:map00230
LOCMI14200	En	Purine metabolism:map00230
LOCMI14604	En	Purine metabolism:map00230
LOCMI14641	En	Purine metabolism:map00230
LOCMI14674	En	Purine metabolism:map00230
LOCMI14719	En	Purine metabolism:map00230
LOCMI14720	En	Purine metabolism:map00230
LOCMI14842	En	Purine metabolism:map00230
LOCMI14909	En	Purine metabolism:map00230
LOCMI15817	En	Purine metabolism:map00230
LOCMI15834	En	Purine metabolism:map00230
LOCMI15924	En	Purine metabolism:map00230
LOCMI15994	En	Purine metabolism:map00230
LOCMI16281	En	Purine metabolism:map00230
LOCMI16287	En	Purine metabolism:map00230
LOCMI16395	En	Purine metabolism:map00230
LOCMI16483	En	Purine metabolism:map00230
LOCMI16539	En	Purine metabolism:map00230
