Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP	redundant with terms	inverse redundant	gene symbols
Glycerolipid metabolism:map00561	10	35	35	28.5714285714	100.0	4.29340567304	0.0	0.00339473684211	 	 	LOCMI15808|LOCMI15814|LOCMI15851|LOCMI15882|LOCMI15896|LOCMI15907|LOCMI15912|LOCMI15948|LOCMI15985|LOCMI16027
Pyruvate metabolism:map00620	11	41	41	26.8292682927	100.0	4.24910072215	0.0	0.00339473684211	 	 	LOCMI14086|LOCMI15814|LOCMI15851|LOCMI15882|LOCMI15896|LOCMI15907|LOCMI15912|LOCMI15985|LOCMI16298|LOCMI16371|LOCMI16875
Metabolism of xenobiotics by cytochrome P450:map00980	11	44	44	25.0	100.0	3.96529367155	0.0	0.00339473684211	Drug metabolism - cytochrome P450:map00982	Drug metabolism - cytochrome P450:map00982	LOCMI08143|LOCMI15696|LOCMI15698|LOCMI15701|LOCMI15703|LOCMI16007|LOCMI16992|LOCMI17032|LOCMI17036|LOCMI17045|LOCMI17046
Lysine degradation:map00310	11	44	44	25.0	100.0	3.96529367155	0.0	0.00339473684211	 	Butanoate metabolism:map00650|Tryptophan metabolism:map00380	LOCMI05700|LOCMI05702|LOCMI15851|LOCMI15896|LOCMI15907|LOCMI15912|LOCMI15940|LOCMI15985|LOCMI16298|LOCMI16371|LOCMI16955
Starch and sucrose metabolism:map00500	12	53	53	22.641509434	100.0	3.73743591886	0.0	0.00339473684211	 	 	LOCMI03726|LOCMI03766|LOCMI03958|LOCMI04338|LOCMI05244|LOCMI05976|LOCMI15834|LOCMI16992|LOCMI17032|LOCMI17036|LOCMI17045|LOCMI17046
Lysosome:map04142	15	74	74	20.2702702703	100.0	3.6927242001	0.0	0.00339473684211	 	Glycosaminoglycan degradation:map00531	LOCMI01253|LOCMI03103|LOCMI03958|LOCMI04276|LOCMI04477|LOCMI05942|LOCMI07478|LOCMI09283|LOCMI10636|LOCMI15816|LOCMI15933|LOCMI16027|LOCMI16049|LOCMI16066|LOCMI17173
Other glycan degradation:map00511	5	14	14	35.7142857143	100.0	3.66508044112	0.0005	0.00339473684211	 	 	LOCMI01253|LOCMI05942|LOCMI09283|LOCMI09622|LOCMI15933
Histidine metabolism:map00340	6	19	19	31.5789473684	100.0	3.6249373873	0.0015	0.00879545454545	Arginine and proline metabolism:map00330|beta-Alanine metabolism:map00410	 	LOCMI09621|LOCMI15851|LOCMI15896|LOCMI15907|LOCMI15912|LOCMI15985
Fatty acid metabolism:map01212	10	42	42	23.8095238095	100.0	3.59330507194	0.001	0.00614285714286	 	Biosynthesis of unsaturated fatty acids:map01040|Butanoate metabolism:map00650|alpha-Linolenic acid metabolism:map00592	LOCMI15809|LOCMI15853|LOCMI15872|LOCMI15923|LOCMI15940|LOCMI15961|LOCMI16046|LOCMI16298|LOCMI16371|LOCMI16955
Drug metabolism - other enzymes:map00983	10	44	44	22.7272727273	100.0	3.41951202686	0.001	0.00614285714286	 	 	LOCMI03958|LOCMI08740|LOCMI13010|LOCMI15586|LOCMI15639|LOCMI16992|LOCMI17032|LOCMI17036|LOCMI17045|LOCMI17046
Amino sugar and nucleotide sugar metabolism:map00520	10	44	44	22.7272727273	100.0	3.41951202686	0.0005	0.00339473684211	 	 	LOCMI03834|LOCMI06643|LOCMI09283|LOCMI09697|LOCMI11868|LOCMI13816|LOCMI13862|LOCMI13965|LOCMI15834|LOCMI17138
Arginine and proline metabolism:map00330	9	40	40	22.5	100.0	3.20564924954	0.0	0.00339473684211	 	Histidine metabolism:map00340	LOCMI05296|LOCMI09621|LOCMI10153|LOCMI14150|LOCMI15851|LOCMI15896|LOCMI15907|LOCMI15912|LOCMI15985
Glycolysis / Gluconeogenesis:map00010	9	41	41	21.9512195122	100.0	3.1190182661	0.002	0.0112173913043	 	 	LOCMI15834|LOCMI15851|LOCMI15896|LOCMI15907|LOCMI15912|LOCMI15985|LOCMI16007|LOCMI16091|LOCMI16875
Retinol metabolism:map00830	7	30	30	23.3333333333	100.0	2.93513702807	0.0035	0.0188125	 	 	LOCMI07568|LOCMI16007|LOCMI16992|LOCMI17032|LOCMI17036|LOCMI17045|LOCMI17046
Biosynthesis of unsaturated fatty acids:map01040	4	15	15	26.6666666667	100.0	2.5335529798	0.0185	0.0852321428571	Fatty acid metabolism:map01212	alpha-Linolenic acid metabolism:map00592	LOCMI15809|LOCMI15853|LOCMI15872|LOCMI15961
Porphyrin and chlorophyll metabolism:map00860	8	43	43	18.6046511628	100.0	2.40121923239	0.0055	0.02838	 	 	LOCMI02150|LOCMI03958|LOCMI08345|LOCMI16992|LOCMI17032|LOCMI17036|LOCMI17045|LOCMI17046
Glycosaminoglycan degradation:map00531	4	16	16	25.0	100.0	2.37723669811	0.0225	0.100086206897	Lysosome:map04142	 	LOCMI03958|LOCMI04276|LOCMI09283|LOCMI10636
Butanoate metabolism:map00650	4	17	17	23.5294117647	100.0	2.23262764545	0.0255	0.10965	Fatty acid degradation:map00071|Fatty acid metabolism:map01212|Lysine degradation:map00310|Propanoate metabolism:map00640|Tryptophan metabolism:map00380|Valine, leucine and isoleucine degradation:map00280	 	LOCMI15940|LOCMI16298|LOCMI16371|LOCMI16955
alpha-Linolenic acid metabolism:map00592	3	12	12	25.0	100.0	2.05704169803	0.048	0.1935	Biosynthesis of unsaturated fatty acids:map01040|Fatty acid degradation:map00071|Fatty acid metabolism:map01212	 	LOCMI15809|LOCMI15853|LOCMI15961
